binder_count,binder_mass,span,aspect_ratio,mean_aerodynamic_chord,wing_area,horizontal_stabilizer_area,wing_loading,battery_capacity,propeller,main_wing_airfoil,horizontal_stabilizer_airfoil,fowler_affected_span,fowler_affected_span_ratio,fowler_affected_area,fowler_affected_area_ratio,fuselage_wetted_area,fuselage_length,fuselage_diameter,mass_total,mass_empty,mass_payload,mass_battery,mass_fuselage,mass_wing,mass_horizontal_stabilizer,mass_landing_gear,mass_misc,x_center_of_gravity,c_m_alpha,c_l_alpha,c_n_beta,x_neutral_point,static_margin,percent_mac,transport_box_height,transport_box_width,transport_box_length,take_off_length,take_off_time_from_counter_start,take_off_time_total,cl_max_at_take_off,required_cl_at_take_off,assumed_wind_speed,take_off_ground_speed,take_off_air_speed,takeoff_battery_voltage,takeoff_battery_soc,climb_air_speed,climb_rate,climb_flap_angle,climb_cl,climb_reynolds,climb_battery_voltage,climb_battery_soc,efficiency_motor_on_air_speed,efficiency_motor_on_cl,efficiency_motor_on_reynolds,efficiency_motor_on_flap_angle,efficiency_motor_on_time,efficiency_motor_off_air_speed,efficiency_motor_off_cl,efficiency_motor_off_reynolds,efficiency_motor_off_flap_angle,efficiency_motor_off_time,efficiency_battery_voltage,efficiency_battery_soc,cruise_air_speed,cruise_flap_angle,cruise_cl,cruise_drag_force,cruise_reynolds,cruise_battery_voltage,cruise_battery_soc,score_factor_take_off,score_payload,max_payload,score_efficiency,max_efficiency,score_distance,max_distance,t_loading,t_unloading,b_loading,penalty_current,penalty_round,score_round
2,0.01684852246249929,1.7276266603496893,4.591836734693879,0.3947660034303707,0.6499999999999999,0.13016866418975043,9.013802899067992,2.4,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,5.858971884394194,1.7789718843941937,4.08,0.21344,0.31808454766818506,0.37696261746873616,0.05589946925727255,0.13958525,0.675,0.3335238255247112,-0.7634100759761646,4.338800160918672,0.07721361033407484,0.4029796166026923,0.17594958229524096,0.3266240942811526,0.4388777541712487,0.18665605417309222,0.774466191655659,32.30487100060746,5.8000000000000025,6.800000000000003,1.548606704563564,1.175814804574117,3,8.464126383616179,11.464126383616179,11.893225000581936,0.9590277777777778,17.640477116763293,2.3479922541561864,4,0.49223318549777545,423914.8166178392,11.759508332587854,0.9152777777777777,30.326413790585775,0.16802687159805815,728768.0517720423,0,55.86666692619661,27.330074685096054,0.20688986558523031,656763.6193510222,0,34.13333307380339,11.392566666533094,0.7814814810309086,33.37885066803217,-2,0.13870052256324486,6.368644861886567,802120.558655804,10.964804165193753,0.5282407398395951,1.05,680.0,6.0,879.1943434820337,0.74,938.7801750384049,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,928.8910814821535
2,0.0176240839254131,1.7768350675126992,4.8571428571428585,0.3838331900330592,0.65,0.12808452099956935,9.0238513200064,2.4,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,5.86550335800416,1.78550335800416,4.08,0.21344,0.31808454766818506,0.3846637857596513,0.05472977457632357,0.13958525,0.675,0.33289353202457783,-0.7396200855152222,4.427855902789171,0.07645359120634833,0.3970041861108178,0.16703797543396223,0.3360563947115616,0.42672329165702233,0.18391116102773547,0.7893655473152421,32.246115059096354,5.8000000000000025,6.800000000000003,1.5455477650541107,1.1802378159169573,3,8.44900120977702,11.44900120977702,11.893225000581936,0.9590277777777778,17.559678604406496,2.3711228407319935,4,0.4971987292584673,410286.8637762655,11.759508332587854,0.9152777777777777,30.410582170217182,0.16728432944189164,710551.8651746726,0,55.15451824679749,27.28392198207023,0.20782181349354115,637496.5643580047,0,34.84548175320251,11.396283289541483,0.7827178502659766,33.43782911896584,-2,0.138365743218345,6.35500486467428,781284.3474973657,10.967764033255532,0.5307134783097309,1.05,680.0,6.0,885.3426077699728,0.74,940.4389439709142,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,931.6235431093106
2,0.01918576040123456,1.8713740450071796,5.387755102040818,0.3644425196264754,0.6500000000000004,0.1245018316791251,9.045268215687912,2.4,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,5.879424340197146,1.7994243401971461,4.08,0.21344,0.31808454766818506,0.4005797366796145,0.052734805849346506,0.13958525,0.675,0.33174968656256765,-0.6916589583582272,4.587821174385883,0.07519497784217859,0.3866928979907469,0.15075979033790726,0.3541220609251798,0.4051658783895006,0.1790497913424247,0.8157843302680746,33.82224205464722,6.000000000000003,7.0000000000000036,1.5423142370099834,1.1573166537085626,3,8.575533653221235,11.575533653221235,11.891000000253598,0.9583333333333333,17.44017850316381,2.4094365434696674,4,0.5050166378183935,386908.6955670985,11.75855208266442,0.9149305555555556,30.54933097115503,0.16616166646489747,677733.9919056983,0,54.15412466810321,27.233263100899876,0.2090907800672045,604167.3426962515,0,35.84587533189679,11.401597880004191,0.784454644673432,33.54183419363136,-2,0.13783535557154217,6.335064844377231,744122.3902858304,10.972050055102914,0.5341870671246416,1.05,680.0,6.0,894.7763314212921,0.74,943.364086695882,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,935.9491463410109
1,0.026756867751945124,1.6769749246661936,4.3265306122449,0.4066896064422438,0.65,0.1324889462609357,9.020811798984287,2.4,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,5.863527669339787,1.7835276693397866,4.08,0.21344,0.31808454766818506,0.38020832543349004,0.05720954623811122,0.13958525,0.675,0.33359272209321167,-0.793533706459827,4.242911706833295,0.07813432470110424,0.4096514986544255,0.1870257411159004,0.3153929143174941,0.4521337186312262,0.18965234737425832,0.7582139339945153,32.26649963145591,5.8000000000000025,6.800000000000003,1.5519683012697578,1.179364036123474,3,8.451312582446427,11.451312582446427,11.893225000581936,0.9590277777777778,17.746670452241236,2.3147553780471792,4,0.4869089727471941,439347.82662499975,11.759508332587854,0.9152777777777777,30.562449345847128,0.1655701743191866,756623.3752167753,0,57.77115965763479,27.185031264156468,0.2092660350171913,673009.8716140549,0,32.22884034236521,11.381943166084998,0.7781750700388285,33.294372445216844,-2,0.13951366654205233,6.3819842497448915,824256.5957380442,10.957169704607136,0.5216279178554347,1.05,680.0,6.0,871.6324021964465,0.74,936.4042250217237,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,925.4128195263595
2,0.018435097803626017,1.8247169196164907,5.122448979591839,0.3737611378478072,0.6499999999999998,0.1262043881783509,9.034395361262057,2.4,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,5.872356984820335,1.7923569848203353,4.08,0.21344,0.31808454766818506,0.3925668355548613,0.053680351597288345,0.13958525,0.675,0.33230226757855097,-0.7157054616720335,4.510684851675133,0.07578493177223258,0.3916040928707748,0.1586689128605919,0.3452127216988593,0.41552577311553857,0.18138479260542834,0.8030894342790329,32.1851506150349,5.8000000000000025,6.800000000000003,1.5433202993272392,1.1848540323445576,3,8.433350547182783,11.433350547182783,11.893225000581936,0.9590277777777778,17.495635245200134,2.3916098308125084,4,0.5013173135162218,398063.5237629707,11.759508332587854,0.9152777777777777,30.484374952306347,0.16666994795702467,693585.4310609169,0,54.52344931438965,27.253294003105736,0.20853256568891354,620071.3545397425,0,35.47655068561035,11.399635842977364,0.7838134560514068,33.50793823929743,-2,0.1379483393379654,6.348482822616049,762378.0321566798,10.970422718379847,0.5329046898805914,1.05,680.0,6.0,890.9404871334447,0.74,942.4107629802403,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,934.2729375397897
1,0.025876520655987837,1.6247448779323317,4.06122448979592,0.4197633003120691,0.6499999999999998,0.13508485531160053,9.011544246231907,2.4,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,5.857503760050737,1.7775037600507373,4.08,0.21344,0.31808454766818506,0.37270899487776893,0.05868496750478273,0.13958525,0.675,0.33433194873150573,-0.8170318759795538,4.139544462991692,0.07915807941802297,0.4171790437359184,0.19737241217819324,0.3053917402483734,0.46666828684240047,0.19294028231099228,0.7403914308466072,32.318977004277464,5.8000000000000025,6.800000000000003,1.555861738136938,1.1768919439989531,3,8.457443208627984,11.457443208627984,11.893225000581936,0.9590277777777778,17.89112728665795,2.282010484424298,4,0.4787636577255927,457162.6015005847,11.759508332587854,0.9152777777777777,33.15429390925422,0.1405505179160406,847174.30107228,-2,75.77180752890027,26.31858137647396,0.22304221227731938,672504.9202934388,0,14.228192471099732,11.313910531440808,0.746923945262326,33.14306770117156,-2,0.14064574848424063,6.3807783184480655,846887.4436591151,10.88963047330361,0.4591256683024296,1.05,680.0,6.0,863.8689417892696,0.74,932.1487790954502,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,921.206202309652
1,0.0241563056893219,1.514892061892092,3.5306122448979607,0.45020255190602876,0.6499999999999999,0.14131303760599964,8.994735645598318,2.4,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,5.8465781696389065,1.7665781696389065,4.08,0.21344,0.31808454766818506,0.3582022447439561,0.0622661272267651,0.13958525,0.675,0.33602421863957954,-0.8653495983820774,3.907685407453377,0.08177812677187088,0.4357159449316313,0.22144812290455648,0.2842875750239793,0.5005088664823008,0.2006034145189034,0.6988877189987959,38.57606178750713,6.600000000000003,7.600000000000004,1.5632960336864974,1.2015558772257173,3,8.328661871544465,11.328661871544465,11.884024998758415,0.9562499999999999,17.312412404984965,2.1863126269139523,4,0.5104360904505028,474453.94882811257,11.75568333289411,0.9138888888888889,33.18330932283944,0.1400431304932924,909402.5589912909,-2,77.9629169453666,24.816238484428663,0.25039709899280965,680099.4609282229,0,12.0370830546334,11.30640175697947,0.7431199358587386,32.917430365970525,-2,0.14231456513486845,6.425479768100396,902116.0342686916,10.88031850106964,0.45151764949525486,1.05,680.0,6.0,849.784439785386,0.74,925.802729042921,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,914.0555090899074
1,0.025009871601089074,1.5707790865603957,3.795918367346942,0.4341847163368014,0.6499999999999997,0.1380055379443297,9.002834576841769,2.4,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,5.851842474947147,1.7718424749471469,4.08,0.21344,0.31808454766818506,0.3653755464921188,0.060357130786842475,0.13958525,0.675,0.33513787678551693,-0.8408298346044409,4.028038179301277,0.080350805492943,0.4257725812561894,0.2087442564286457,0.2950448017841616,0.48270117372198235,0.19656973698143554,0.7207290892965819,32.29972145508858,5.8000000000000025,6.800000000000003,1.5589509976036489,1.1970276599626002,3,8.35517785085736,11.35517785085736,11.893225000581936,0.9590277777777778,17.916371287586884,2.2410755939519516,4,0.477102750040592,473536.118416419,11.759508332587854,0.9152777777777777,33.33743214164425,0.13887618509178185,881120.2871902098,-2,77.4564309048335,25.45527756240327,0.2381970582151041,672792.1149113748,0,12.543569095166504,11.307905387749006,0.7439992519013308,33.043275186383624,-2,0.1413597905232318,6.400278150863858,873345.6133701927,10.882356329877082,0.4532762815804392,1.05,680.0,6.0,860.1765391761213,0.74,929.3421146170393,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,918.9315288276064
1,0.02331554657370486,1.4568627181693674,3.265306122448981,0.4681348926156807,0.65,0.14508696142317767,8.98731875766612,2.4,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,5.841757192482978,1.7617571924829782,4.08,0.21344,0.31808454766818506,0.3511833592754037,0.0644640355393892,0.13958525,0.675,0.33700861860496156,-0.890922585301186,3.777913980655218,0.08347810137777122,0.4474062641798188,0.2358239467238134,0.2731260257259532,0.5204449940852286,0.2051214258087799,0.6744335801059914,118.9765580049451,16.99999999999997,17.999999999999968,1.567833472962033,1.2059098505172698,3,8.303528921728422,11.303528921728422,11.773343749547905,0.9201388888888891,17.97072138756157,2.105011742461385,4,0.477102750040592,512112.11243296013,11.709562500434338,0.8958333333333334,33.59783498293616,0.13649613590025023,957438.3729633956,-2,90.0,18.85309622521228,0.4334884935600978,537257.1710158482,4,0.0,11.273500000306901,0.7222222222222222,32.723192845928835,-2,0.14389032678457378,6.444027349795316,932513.673350851,10.835083333956552,0.4097222222222222,0.0,680.0,6.0,842.1093738646624,0.74,920.3397987917484,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,0.0
1,0.022487773366305593,1.3964240043768943,3.0000000000000004,0.48839626788736545,0.65,0.14943138360166872,8.980681102417298,2.4,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,5.837442716571244,1.7574427165712443,4.08,0.21344,0.31808454766818506,0.34431305830388786,0.06701986059917059,0.13958525,0.675,0.3381142334220398,-0.9184544372195524,3.638248542948521,0.08555137796261153,0.4614037062552894,0.25244411600182093,0.2614686605447827,0.5429704060973761,0.21022804889082564,0.6468015450117981,126.43905361616277,20.19999999999996,21.199999999999957,1.5555543239924157,1.5957198524316543,3,6.8227414317300425,9.822741431730043,11.743297917155342,0.909027777777778,18.626547088799896,2.03810562227476,4,0.44376941012509463,553774.8337725241,11.696712499352252,0.8902777777777778,33.5299064708454,0.13694853422304934,996857.7801231663,-2,90.0,13.730346879279786,0.8166934148177976,408208.8067349981,10,0.0,11.273500000306901,0.7222222222222222,32.543384252804586,-2,0.1453773151806288,6.480299791873587,967528.0726522122,10.835083333956552,0.4097222222222222,0.0,680.0,6.0,839.4071456834724,0.74,915.2826821101289,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,0.0
