binder_count,binder_mass,span,aspect_ratio,mean_aerodynamic_chord,wing_area,horizontal_stabilizer_area,wing_loading,battery_capacity,propeller,main_wing_airfoil,horizontal_stabilizer_airfoil,fowler_affected_span,fowler_affected_span_ratio,fowler_affected_area,fowler_affected_area_ratio,fuselage_wetted_area,fuselage_length,fuselage_diameter,mass_total,mass_empty,mass_payload,mass_battery,mass_fuselage,mass_wing,mass_horizontal_stabilizer,mass_landing_gear,mass_misc,x_center_of_gravity,c_m_alpha,c_l_alpha,c_n_beta,x_neutral_point,static_margin,percent_mac,transport_box_height,transport_box_width,transport_box_length,take_off_length,take_off_time_from_counter_start,take_off_time_total,cl_max_at_take_off,assumed_wind_speed,take_off_ground_speed,take_off_air_speed,takeoff_battery_voltage,takeoff_battery_soc,climb_air_speed,climb_rate,climb_flap_angle,climb_cl,climb_reynolds,climb_battery_voltage,climb_battery_soc,efficiency_motor_on_air_speed,efficiency_motor_on_cl,efficiency_motor_on_reynolds,efficiency_motor_on_flap_angle,efficiency_motor_on_time,efficiency_motor_off_air_speed,efficiency_motor_off_cl,efficiency_motor_off_reynolds,efficiency_motor_off_flap_angle,efficiency_motor_off_time,efficiency_battery_voltage,efficiency_battery_soc,cruise_air_speed,cruise_flap_angle,cruise_cl,cruise_drag_force,cruise_reynolds,cruise_battery_voltage,cruise_battery_soc,score_factor_take_off,score_payload,max_payload,score_efficiency,max_efficiency,score_distance,max_distance,t_loading,t_unloading,b_loading,penalty_current,penalty_round,score_round
2,0.02969617747240571,2.5495097567963927,9.999999999999996,0.2675821268089917,0.6500000000000004,0.11715396983181603,8.99485589565993,2.4,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163501298348309,1.7,0.09,5.8466563321789575,1.9366563321789574,3.91,0.21344,0.3180716799782558,0.5299180236040548,0.04877687859664641,0.15144975,0.675,0.332252757475697,-1.589871205203032,5.416883444325528,0.07470703051460756,0.4107855161248438,0.29350293790583704,0.24053174558913157,0.2983440659911913,0.14422376934764802,0.9574321646611605,34.873910488814204,5.8000000000000025,6.600000000000003,1.5149383663609721,2.2,9.483905225219575,11.683905225219576,11.895554167289507,0.9597222222222223,17.315387024763275,2.6178796592208275,4,0.5085056560095627,282044.6255733968,11.759508332587854,0.9152777777777777,31.310212246064545,0.15730226782526324,510001.71563797817,0,53.733335406483754,26.39397345274817,0.22135913856863307,429922.7241775328,0,36.266664593516246,11.403833322778157,0.7851851815859657,33.542241366745436,-2,0.13706382507866272,6.399928925225803,546358.5014673129,10.974037489956636,0.5356481409497091,1.05,651.6666666666667,6.0,902.8641956026477,0.74,943.3755384397153,3200.0,13.799999999999999,9.2,52.333333333333336,0.0,0.0,929.2172402481605
2,0.02969751587117556,2.5495097567963927,9.999999999999996,0.2675821268089917,0.6500000000000004,0.11715396983181603,8.99459553961132,2.4,aeronaut14x8,acc24cl,ht14,0.0,0.0,0.0,0.0,0.5163501298348309,1.7,0.09,5.846487100747361,1.9364871007473612,3.91,0.21344,0.3180716799782558,0.529748792172459,0.04877687859664641,0.15144975,0.675,0.33225155467044387,-1.588929994373093,5.419328247684206,0.07449845968913117,0.4107036142604085,0.29319685425072317,0.2405317480219603,0.2983440659911913,0.14429062825283664,0.9573653057559719,33.001854502982944,5.600000000000002,6.400000000000003,1.554748747544385,2.2,9.297597518756612,11.497597518756614,11.897935417099198,0.9604166666666667,17.882106884336288,2.6202292925572124,4,0.477102750040592,291275.73836167494,11.760464582511291,0.915625,29.01526424382098,0.18316453011785516,472620.0649086292,0,34.45776100220827,22.980090304814716,0.29200546149430706,374315.1080824843,2,55.54223899779173,11.514625363530104,0.8186497204822774,33.232027480046746,-2,0.13963064998506347,6.461979904296233,541305.5298302093,11.07408369773826,0.6025772187423324,1.05,651.6666666666667,6.0,891.3656761615878,0.74,934.6507728763147,3200.0,13.799999999999999,9.2,52.333333333333336,0.0,0.0,922.1390904965992
2,0.029725758589226395,2.5495097567963927,9.999999999999996,0.2675821268089917,0.6500000000000004,0.11715396983181603,8.986476191970882,2.4,aeronaut14x8,LAK24_v1,ht14,0.0,0.0,0.0,0.0,0.5163501298348309,1.7,0.09,5.8412095247810765,1.9312095247810763,3.91,0.21344,0.3180716799782558,0.5244712162061741,0.04877687859664641,0.15144975,0.675,0.3322511620410607,-1.592139512483894,5.409339923511481,0.07540987046674914,0.4110072415071829,0.29433157002460186,0.2405317390029582,0.2983440659911913,0.14578515301701295,0.9558707809917957,35.03941570340755,5.8000000000000025,6.600000000000003,1.4748278911979293,2.2,9.545292855730645,11.745292855730646,11.895554167289507,0.9597222222222223,16.919630560518545,2.6202264023682122,4,0.5317776821530134,275598.2791176968,11.759508332587854,0.9152777777777777,31.154857440661694,0.15872695633139283,507471.19247622543,0,52.3914337103472,26.36004245354678,0.2217226264543514,429370.03332797793,0,37.6085662896528,11.410403591310343,0.7875148720306473,34.190420954004026,0,0.1317932990641611,6.214150710289994,556916.4848800555,10.97955200226299,0.5403075218390723,1.05,651.6666666666667,6.0,905.8962349332961,0.74,961.6055893313631,3200.0,13.799999999999999,9.2,52.333333333333336,0.0,0.0,936.6589718259643
2,0.030824082410186866,2.5495097567963927,9.999999999999996,0.2675821268089917,0.6500000000000004,0.11715396983181603,9.258564504313018,2.4,aeronaut14x8,LAK24_v1,ht14,0.0,0.0,0.0,0.0,0.5163501298348309,1.7,0.09,6.018066927803465,1.9380669278034652,4.08,0.21344,0.3180716799782558,0.5313286192285627,0.04877687859664641,0.15144975,0.675,0.3338233555349429,-1.560047293623565,5.409339923511481,0.07528009210179927,0.4109897583680068,0.288398827894487,0.24639914366309845,0.2983440659911913,0.14578515301701295,0.9558707809917957,39.22973200165199,6.400000000000003,7.200000000000004,1.474845475532193,2.2,9.725216838048809,11.925216838048808,11.888674999787204,0.9576388888888889,17.08339538479876,2.525869060162276,4,0.5379928043604693,278265.7903018331,11.756639582817545,0.9142361111111111,31.750812078952922,0.15745149138676204,517178.5009282511,0,56.780577533650494,26.40349860926075,0.22768451744210993,430077.8763088872,0,33.219422466349506,11.387468757913219,0.7798948306707456,34.18427452341816,0,0.13583250775271946,6.206060190764369,556816.3677004208,10.961141928632514,0.5250674391192691,1.05,680.0,6.0,898.5451774576587,0.74,961.4327209711358,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,943.5922644500782
2,0.03080620310201439,2.5495097567963927,9.999999999999996,0.2675821268089917,0.6500000000000004,0.11715396983181603,9.267056800904024,2.4,aeronaut14x8,acc24cl,ht14,0.0,0.0,0.0,0.0,0.5163501298348309,1.7,0.09,6.023586920587619,1.9435869205876193,4.08,0.21344,0.3180716799782558,0.5368486120127169,0.04877687859664641,0.15144975,0.675,0.33382169624224906,-1.556771535941843,5.419328247684206,0.07436919209063474,0.4106857864127945,0.2872628238762036,0.24639915269233967,0.2983440659911913,0.14429062825283664,0.9573653057559719,37.12825036750814,6.200000000000003,7.0000000000000036,1.5553494609222915,2.2,9.49376356057891,11.693763560578912,11.891000000253598,0.9583333333333333,18.160925230921148,2.520190402726504,4,0.477102750040592,295817.3184056587,11.757595832740982,0.9145833333333333,30.043625411402637,0.17601510745967955,489370.70063221944,0,43.34259001693238,24.132298888356694,0.27280808116232047,393083.0534978998,2,46.65740998306762,11.459256235718447,0.8032246701094924,33.13925070862353,-2,0.14466692584075774,6.453683338300548,539794.3196146624,11.027852732169768,0.5717271179967627,1.05,680.0,6.0,884.2765986364166,0.74,932.0414261800366,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,928.3113086857586
2,0.03080535739193565,2.5495097567963927,9.999999999999996,0.2675821268089917,0.6500000000000004,0.11715396983181603,9.26733467350291,2.4,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163501298348309,1.7,0.09,6.023767537776894,1.9437675377768944,4.08,0.21344,0.3180716799782558,0.5370292292019918,0.04877687859664641,0.15144975,0.675,0.33382278792926573,-1.557727565193493,5.416883444325528,0.07457763802997637,0.4107677036341095,0.28756896492304906,0.24639915025905515,0.2983440659911913,0.14422376934764802,0.9574321646611605,37.12071122594543,6.200000000000003,7.0000000000000036,1.5149542679798782,2.2,9.487034193219424,11.687034193219425,11.891000000253598,0.9583333333333333,17.47110147817437,2.523463922078579,4,0.5151239899824425,284581.0069228803,11.757595832740982,0.9145833333333333,31.69594508018012,0.15814673597171236,516284.79049006803,0,56.89370845102209,26.42518805372152,0.227526230068013,430431.168512699,0,33.10629154897791,11.386837699409927,0.7796984228280867,33.898297209742694,0,0.13826487901329373,6.178518025732405,552158.1776037898,10.960703546362819,0.5246746234339511,1.05,680.0,6.0,896.7380543727277,0.74,953.3896090240132,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,940.1446821888593
2,0.031937923471436064,2.5495097567963927,9.999999999999996,0.2675821268089917,0.6500000000000004,0.11715396983181603,9.53075783776754,2.4,aeronaut14x8,LAK24_v1,ht14,0.0,0.0,0.0,0.0,0.5163501298348309,1.7,0.09,6.194992594548904,1.9449925945489044,4.25,0.21344,0.3180716799782558,0.538254285974002,0.04877687859664641,0.15144975,0.675,0.3353048777132549,-1.529793891551884,5.409339923511481,0.07515775165652015,0.4109732346810492,0.2828060194373616,0.2519302002866666,0.2983440659911913,0.14578515301701295,0.9558707809917957,43.364058543502296,7.0000000000000036,7.800000000000004,1.4748583319265394,2.2,9.856764250328286,12.056764250328285,11.88176666500406,0.9555555555555555,17.24712682252593,2.436143003374322,4,0.5438612105913531,280932.7576634239,11.753770833047236,0.9131944444444444,31.99522632132952,0.15961358749631704,521159.6838713367,0,60.133332820198234,26.599138272997013,0.2309431567315561,433264.58623497124,0,29.866667179801766,11.373300001892877,0.7740740749649336,34.16704431308244,0,0.13996692135792224,6.200043112661941,556535.7104898288,10.94575000145783,0.5134259277076451,1.0,708.3333333333334,6.0,891.6514044814329,0.74,960.9481213054437,3200.0,14.999999999999998,10.0,51.66666666666667,0.0,0.0,905.31095304007
2,0.03193084758938414,2.5495097567963927,9.999999999999996,0.2675821268089917,0.6500000000000004,0.11715396983181603,9.53993096658546,2.4,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163501298348309,1.7,0.09,6.200955128280553,1.9509551282805528,4.25,0.21344,0.3180716799782558,0.5442168197056498,0.04877687859664641,0.15144975,0.675,0.3353021763315519,-1.527449626682172,5.416883444325528,0.0744556982810943,0.4107520519609419,0.281979415355938,0.2519302068567207,0.2983440659911913,0.14422376934764802,0.9574321646611605,43.14000267740834,7.0000000000000036,7.800000000000004,1.5164890930226032,2.2,9.78904233920773,11.989042339207732,11.88176666500406,0.9555555555555555,17.498083405420257,2.4331891119909526,4,0.5290438792533847,285020.5066323832,11.753770833047236,0.9131944444444444,30.871585465565325,0.1716090397230242,502857.0687470111,0,52.49721021022732,25.794738922823168,0.2458078544172078,420161.99065297225,0,37.50278978977268,11.409896194702943,0.7873312322739109,34.061872552223114,0,0.140968146627835,6.222918732553913,554822.6023814139,10.979115674236025,0.5399402423255997,1.0,708.3333333333334,6.0,886.770359146723,0.74,957.9901655312751,3200.0,14.999999999999998,10.0,51.66666666666667,0.0,0.0,902.6979526704438
2,0.031931164257648845,2.5495097567963927,9.999999999999996,0.2675821268089917,0.6500000000000004,0.11715396983181603,9.539634992997694,2.4,aeronaut14x8,acc24cl,ht14,0.0,0.0,0.0,0.0,0.5163501298348309,1.7,0.09,6.200762745448505,1.9507627454485048,4.25,0.21344,0.3180716799782558,0.5440244368736021,0.04877687859664641,0.15144975,0.675,0.33530119481560405,-1.52645582770815,5.419328247684206,0.07424733370189486,0.410668944583249,0.28166882645656993,0.2519302093253582,0.2983440659911913,0.14429062825283664,0.9573653057559719,41.20768236937133,6.800000000000003,7.600000000000004,1.5557957311590764,2.2,9.63949540067584,11.83949540067584,11.884024998758415,0.9562499999999999,18.15916795136096,2.4222858950963024,4,0.49158901838043123,295788.694658764,11.754727082970673,0.9135416666666667,29.838452828800627,0.1836927238531981,486028.71213637164,0,44.32849065391379,24.207749713861883,0.2790844981569881,394312.04709754506,2,45.67150934608621,11.453263808888636,0.8015130370591774,33.12095849402421,-2,0.14908665208018176,6.46980841488802,539496.3637670574,11.02326213196183,0.5683038518961326,1.0,708.3333333333334,6.0,875.1944679506031,0.74,931.5269576444308,3200.0,14.999999999999998,10.0,51.66666666666667,0.0,0.0,890.0182529761224
2,0.03307252805621756,2.5495097567963927,9.999999999999996,0.2675821268089917,0.6500000000000004,0.11715396983181603,9.812333425283379,2.4,aeronaut14x8,acc24cl,ht14,0.0,0.0,0.0,0.0,0.5163501298348309,1.7,0.09,6.3780167264342,1.9580167264341997,4.42,0.21344,0.3180716799782558,0.551278417859297,0.04877687859664641,0.15144975,0.675,0.3366975411690476,-1.497803529619964,5.419328247684206,0.07413209737842455,0.4106542338346035,0.2763817693198428,0.2571622898878987,0.2983440659911913,0.14429062825283664,0.9573653057559719,45.21554125341015,7.200000000000004,8.200000000000003,1.5561093685643999,2.2,9.741915307793853,11.941915307793852,11.877004165384678,0.9541666666666666,18.425018385266448,2.3320894438576287,4,0.49158901838043123,300119.04465222155,11.7528145831238,0.9128472222222223,30.49358397346945,0.1809123239798037,496699.92717391794,0,45.87269430618725,23.627695548100913,0.3013299933455409,384863.7361957806,2,44.12730569381275,11.44429147145566,0.7988321279406472,33.06734881721968,-2,0.15384604675643074,6.476196998970069,538623.1334315287,11.01422918213755,0.562942033659072,1.0,736.6666666666667,6.0,868.082624018295,0.74,930.0191854843036,3200.0,15.599999999999998,10.399999999999999,51.333333333333336,0.0,0.0,896.2561587230884
