payload;span;aspect_ratio;airfoil;total mass;take_off_length;climb_height;efficiency_points;distance;score_payload;score_efficiency;score_distance;b_loading;penalty_current;take_off_factor;penalty_round;score_round;score_round_corrected;wing_area;wing_loading
3.23;2.15;7; ag45c;5.130906818;22.30366293;68.39534843;0.602244341;2745.77705;538.3333333;813.8437038;858.0553282;54.66666667;0;1.05;0;830.9813279;830.9813279;0.660357143;77.6989675
3.23;1.7;8; ag45c;4.784150779;41.90494763;68.84459948;0.5889913;2950.963242;538.3333333;795.9341892;922.1760132;54.66666667;0;1;0;806.8145119;806.8145119;0.36125;132.4332396
3.23;2;8; ag45c;4.967938433;29.14340998;70.04390349;0.632032158;2842.769894;538.3333333;854.0975107;888.365592;54.66666667;0;1.05;0;855.6787526;855.6787526;0.5;99.35876867
3.23;1.85;7; ag45c;4.923938756;29.49946323;69.71039627;0.629471504;2841.068288;538.3333333;850.6371674;887.8338401;54.66666667;0;1.05;0;854.2815193;854.2815193;0.488928571;100.7087547
3.23;1.7;9; ag45c;4.762702007;49.54577254;67.8079104;0.607486502;2978.8636;538.3333333;820.9277048;930.894875;54.66666667;0;1;0;818.051971;818.051971;0.321111111;148.3194397
3.23;2;7; ag45c;5.023786989;24.8530604;69.53226732;0.616272621;2794.466611;538.3333333;832.800839;873.2708158;54.66666667;0;1.05;0;842.9417459;842.9417459;0.571428571;87.9162723
3.23;1.85;8; ag45c;4.879174829;34.10690903;69.87819031;0.583586206;2885.877389;538.3333333;788.6300087;901.836684;54.66666667;0;1.05;0;837.4800091;837.4800091;0.4278125;114.0493751
3.23;2;9; ag45c;4.918100552;33.72273088;70.17021262;0.572000578;2881.518364;538.3333333;772.9737539;900.4744887;54.66666667;0;1.05;0;831.5235516;831.5235516;0.444444444;110.6572624
3.23;1.7;7; ag45c;4.831213106;36.73142699;68.79628364;0.571302169;2886.587269;538.3333333;772.0299583;902.0585216;54.66666667;0;1.05;0;831.7476346;831.7476346;0.412857143;117.0190026
3.23;1.85;9; ag45c;4.837942866;41.25692725;69.04204334;0.595652029;2944.001214;538.3333333;804.9351739;920.0003792;54.66666667;0;1;0;809.0896288;809.0896288;0.380277778;127.2212879
