payload;span;aspect_ratio;airfoil;total mass;take_off_length;climb_height;efficiency_points;distance;score_payload;score_efficiency;score_distance;b_loading;penalty_current;take_off_factor;penalty_round;score_round;score_round_corrected;wing_area;wing_loading
3.57;1.5;12;ag19;5.381508267;238.5616791;16.48589926;0.62983901;3043.641929;595;851.1337972;951.1381028;54.66666667;0;1;0;853.7573;0;0.1875;287.0137743
3.57;1.5;14;ag19;5.44144026;228.5647787;14.69919788;0.626783768;3054.625181;595;847.0050917;954.5703692;54.66666667;0;1;0;853.5251536;0;0.160714286;338.5785051
3.57;2;10;ag19;5.37415606;70.97018125;50.40983956;0.586154071;2938.429298;595;792.1000962;918.2591558;54.66666667;0;1;0;823.1197507;0;0.4;134.3539015
3.57;1.5;16;ag19;5.446031982;220.1375588;13.01633112;0.627095925;3061.012575;595;847.426926;956.5664297;54.66666667;0;1;0;854.3311186;0;0.140625;387.2733854
3.57;2;12;ag19;5.853772452;145.5887985;28.44579077;0.594447191;2966.085016;595;803.3070143;926.9015675;54.66666667;0;1;0;829.7361939;0;0.333333333;175.6131736
3.57;2;14;ag19;5.82818393;207.8673908;17.12360928;0.606910003;2989.913709;595;820.1486522;934.3480341;54.66666667;0;1;0;837.8322288;0;0.285714286;203.9864375
3.57;2.5;12;ag19;6.340231701;96.31954436;31.5181477;0.572353881;2865.439119;595;773.4511901;895.4497247;54.66666667;0;1;0;809.3003049;0;0.520833333;121.7324487
3.57;2;16;ag19;5.965213443;192.4622149;16.11377639;0.614146269;3004.447733;595;829.9273906;938.8899166;54.66666667;0;1;0;842.605769;0;0.25;238.6085377
3.57;2.5;14;ag19;6.399513495;142.9263453;20.62127636;0.579902137;2898.104788;595;783.6515361;905.6577462;54.66666667;0;1;0;816.1030941;0;0.446428571;143.3491023
3.57;2.5;16;ag19;6.363396991;163.3350558;16.00148453;0.586924693;2921.405662;595;793.1414775;912.9392693;54.66666667;0;1;0;821.6935823;0;0.390625;162.902963
3.57;3;14;ag19;7.062329357;126.3295567;14.25536816;0.532468982;2800.189248;595;719.5526784;875.05914;54.66666667;0;1;0;784.5372728;0;0.642857143;109.8584567
3.57;3;16;ag19;7.011229001;118.9476596;14.45233501;0.547625208;2830.82128;595;740.0340644;884.63165;54.66666667;0;1;0;794.5552381;0;0.5625;124.6440711
4.08;1.5;8;ag19;5.644393413;159.899059;26.94129982;0.600035911;2962.339933;680;810.8593393;925.7312289;54.66666667;0;1;0;860.1968561;0;0.28125;200.6895436
4.08;1.5;12;ag19;5.940070373;207.1531268;13.139849;0.614478774;2999.246829;680;830.3767212;937.264634;54.66666667;0;1;0;870.5471184;0;0.1875;316.8037532
4.08;1.5;10;ag19;5.95578724;218.5250764;14.25448737;0.608263016;2982.051189;680;821.9770487;931.8909965;54.66666667;0;1;0;865.9560151;0;0.225;264.7016551
4.08;2;8;ag19;5.927572134;70.44978447;42.52431385;0.573176937;2856.567713;680;774.5634279;892.6774102;54.66666667;0;1;0;837.0802794;0;0.5;118.5514427
4.08;2;10;ag19;5.979612902;111.3363714;33.4071635;0.577550233;2911.751217;680;780.4732872;909.9222552;54.66666667;0;1;0;844.7985141;0;0.4;149.4903226
4.08;1.5;14;ag19;6.027712891;201.1306864;11.13113989;0.616110058;3010.061953;680;832.5811592;940.6443602;54.66666667;0;1;0;872.4085065;0;0.160714286;375.057691
4.08;2;12;ag19;6.439334557;181.2065186;14.5513856;0.579382848;2936.181435;680;782.9497941;917.5566984;54.66666667;0;1;0;848.1688308;0;0.333333333;193.1800367
4.08;1.5;16;ag19;6.029462509;191.9645332;9.346202148;0.614786765;3018.59884;680;830.7929253;943.3121376;54.66666667;0;1;0;872.7016876;0;0.140625;428.7617784
