binder_count,binder_mass,span,aspect_ratio,mean_aerodynamic_chord,wing_area,horizontal_stabilizer_area,wing_loading,battery_capacity,propeller,main_wing_airfoil,horizontal_stabilizer_airfoil,fowler_affected_span,fowler_affected_span_ratio,fowler_affected_area,fowler_affected_area_ratio,fuselage_wetted_area,fuselage_length,fuselage_diameter,mass_total,mass_empty,mass_payload,mass_battery,mass_fuselage,mass_wing,mass_horizontal_stabilizer,mass_landing_gear,mass_misc,x_center_of_gravity,c_m_alpha,c_l_alpha,c_n_beta,x_neutral_point,static_margin,percent_mac,transport_box_height,transport_box_width,transport_box_length,take_off_length,take_off_time_from_counter_start,take_off_time_total,cl_max_at_take_off,required_cl_at_take_off,assumed_wind_speed,take_off_ground_speed,take_off_air_speed,takeoff_battery_voltage,takeoff_battery_soc,climb_air_speed,climb_rate,climb_flap_angle,climb_cl,climb_reynolds,climb_battery_voltage,climb_battery_soc,efficiency_motor_on_air_speed,efficiency_motor_on_cl,efficiency_motor_on_reynolds,efficiency_motor_on_flap_angle,efficiency_motor_on_time,efficiency_motor_off_air_speed,efficiency_motor_off_cl,efficiency_motor_off_reynolds,efficiency_motor_off_flap_angle,efficiency_motor_off_time,efficiency_battery_voltage,efficiency_battery_soc,cruise_air_speed,cruise_flap_angle,cruise_cl,cruise_drag_force,cruise_reynolds,cruise_battery_voltage,cruise_battery_soc,score_factor_take_off,score_payload,max_payload,score_efficiency,max_efficiency,score_distance,max_distance,t_loading,t_unloading,b_loading,penalty_current,penalty_round,score_round
2,0.020967534875618313,2.04939015319192,6.999999999999999,0.3071870411627407,0.6000000000000002,0.10369698356754384,9.898430258465215,3.0,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,5.939058155079131,1.859058155079131,4.08,0.26,0.31808454766818506,0.42482981971224454,0.04155853769870152,0.13958525,0.675,0.3239879612816029,-0.5315340195889517,4.942359712186659,0.07279976703589916,0.3570272423267608,0.10754660739855053,0.4064719658241647,0.34151258610037294,0.1525732488910152,0.9059141650086118,45.09181222623808,7.200000000000004,8.000000000000004,1.5330368563600862,1.1609374115932278,2.2,9.890246596774718,12.090246596774719,12.03293333275616,0.9638888888888889,18.29117163882163,2.509526636696352,4,0.5024868082531322,342036.8829785089,11.922884998763626,0.9302777777777778,31.72646520675093,0.1685915286846019,593270.9769237229,0,55.38761558603173,28.182309444211732,0.21366134909306933,526996.8194369299,0,34.61238441396827,11.616347758103982,0.8258505339082892,34.27692354006772,0,0.14443600019509067,6.085514574560491,640963.428545725,11.184631725070012,0.6239232900388008,1.0,680.0,6.0,936.7045694792803,0.74,964.0384745644046,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,912.2476813478949
2,0.024354205488599977,2.2583179581272437,8.500000000000002,0.27876769747212476,0.6000000000000002,0.09986788324922774,9.984624390467868,3.0,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,5.990774634280723,1.910774634280723,4.08,0.26,0.31808454766818506,0.47852410126159023,0.039580735350948165,0.13958525,0.675,0.32207491976682573,-0.387668781387956,5.184510885081048,0.07138202323083273,0.3429148643629053,0.07477441748719478,0.4473701318744994,0.3099176219302673,0.14574887753411891,0.9443335005356137,46.462522558186066,7.400000000000004,8.200000000000003,1.5271051153814748,1.1663230743047033,2.2,9.914704647624639,12.114704647624638,12.030373332961023,0.9633333333333334,17.7014052706239,2.541213826267628,4,0.5407171124215913,300385.3288274392,11.922019998772152,0.9299999999999999,31.819371043217288,0.16906797352166145,539961.2114277208,0,54.6121628332295,27.993010159538244,0.2184466180721292,475029.49246618606,0,35.3878371667705,11.62105867748439,0.8269275516205146,34.252062593351965,0,0.1459053010490026,5.972077126892685,581242.9537555819,11.187656167828765,0.6260773254632515,1.0,680.0,6.0,940.9634327109534,0.74,963.3392604380241,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,913.4342310496592
2,0.028199732297911093,2.449489742783178,9.999999999999995,0.25701111801014276,0.6000000000000002,0.09738815687127324,10.087308608595846,3.0,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,6.052385165157509,1.972385165157509,4.08,0.26,0.31808454766818506,0.5414017592553101,0.03831360823401406,0.13958525,0.675,0.3202976275239113,-0.2483302161381286,5.363144139456252,0.070393019380762,0.3322003605329412,0.04630310312027262,0.4836242887645909,0.2857299293484588,0.14054658205136328,0.973723488600178,49.70163769984189,7.600000000000004,8.600000000000001,1.5231515362859454,1.152350171205718,2.2,10.050443653466862,12.250443653466863,12.026306666672305,0.9622222222222222,17.715162353126352,2.548529251007278,4,0.5454048607910054,277156.82131232356,11.921154998780677,0.9297222222222222,33.75150325988717,0.15181051848533902,528048.1867202302,0,89.28339433433541,0,inf,0.0,-4,0.7166056656645878,11.483977719498569,0.7787730634245341,34.234789969948764,0,0.14755460546462462,5.889873928808023,535609.292041939,11.039969041310831,0.5297683490712906,1.0,680.0,6.0,841.4772808423091,0.74,962.8534679048091,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,880.1102495823728
2,0.03265093054179977,2.6267851073127404,11.500000000000004,0.23966410331567697,0.6000000000000002,0.09577073806580286,10.211964176142155,3.0,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,6.127178505685295,2.047178505685295,4.08,0.26,0.31808454766818506,0.6170157120228542,0.03749299599425626,0.13958525,0.675,0.3185101853146315,-0.1185651504984581,5.499405368233584,0.06966827004644519,0.3236769811671998,0.021559631007259494,0.5156671984242378,0.26644453297560305,0.1364173614660973,0.9971381055582995,52.775099351042016,8.000000000000004,9.0,1.5198558811209042,1.149397642647092,2.2,10.141725672206208,12.34172567220621,12.02276666695536,0.9611111111111111,17.131704783920547,2.5396321586690727,4,0.5900171982605721,249937.8886201316,11.919341665505579,0.9291666666666667,33.871275918791945,0.15260155757677699,494154.8605226086,0,88.73568331587008,0,inf,0.0,-4,1.2643166841299234,11.48574408763248,0.7795337731724027,34.251800787273886,0,0.14922969826117266,5.854799688590043,499706.4144044556,11.041091849143033,0.5312897685670276,1.0,680.0,6.0,841.0279179751954,0.74,963.3318971420781,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,880.1199383724246
2,0.018512365200213123,1.962141687034859,7.000000000000002,0.29410920036066995,0.5500000000000002,0.09100877780511918,10.733219910903193,3.0,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,5.903270950996758,1.8232709509967577,4.08,0.26,0.31808454766818506,0.3954968071240742,0.03510434620449835,0.13958525,0.675,0.32252118323931483,-0.4569442597989657,4.924411743499511,0.07262109232010784,0.3498109503204881,0.09279164367239534,0.4223158778222692,0.32697340757246746,0.14883062854297407,0.9241959638845583,49.76587386735906,7.600000000000004,8.400000000000002,1.532469960610011,1.173345352283362,2.2,10.323002972875642,12.523002972875641,12.028076666530776,0.9627777777777777,18.45839283619903,2.5116579396094574,4,0.5351195199900542,330469.222766557,11.921154998780677,0.9297222222222222,33.98357418357525,0.15933262751335153,608423.7911142184,0,85.75855099004484,0,inf,0.0,-4,4.241449009955161,11.495511738922534,0.7836686791804932,34.20889787424475,0,0.1572405881901618,5.737734708161755,612457.8663225655,11.05048075222105,0.5395595805832087,1.0,680.0,6.0,817.0876508795891,0.74,962.1252527131335,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,871.7376345309076
2,0.0216349995475747,2.162174831043966,8.5,0.2668997503266302,0.5500000000000003,0.0876482003989678,10.823604979524852,3.0,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,5.952982738738672,1.8729827387386715,4.08,0.26,0.31808454766818506,0.44686926509724684,0.033443675973239564,0.13958525,0.675,0.32077081480155495,-0.299137005609048,5.167239407476513,0.07119419699773309,0.3362211259303245,0.05789106755460656,0.46516025872439765,0.29672353240741806,0.1423010253602136,0.9609754422323682,53.27363871769842,8.000000000000004,8.8,1.5272219868918455,1.154339513374252,2.2,10.478725068195049,12.67872506819505,12.02453666681383,0.9616666666666667,18.07088230033331,2.5480193194355136,4,0.5626331496771405,293599.998425864,11.919341665505579,0.9291666666666667,34.01092506506579,0.1604160587261378,552579.9670213842,0,89.32868053419011,35.35200736151199,0.1484761073351462,574368.7072489874,0,0.6713194658098871,11.483831671495821,0.778710165924736,34.243856796524916,0,0.1582411339760638,5.645581659134742,556364.4394590398,11.039876204593241,0.5296425540716941,1.0,680.0,6.0,862.7569322691996,0.74,963.1084724022633,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,887.2884682238209
2,0.025187259398281453,2.345207879911715,9.999999999999996,0.2460694113776739,0.5500000000000002,0.08547188958273508,10.931483745448194,3.0,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,6.012316059996508,1.9323160599965084,4.08,0.26,0.31808454766818506,0.5072667742155997,0.03237948811272389,0.13958525,0.675,0.3191183192727881,-0.1473809820774131,5.346520465860017,0.0702008787017212,0.3259031103408964,0.02756577535212073,0.5031027056236201,0.2735655798555177,0.1373229926398086,0.9891114275046737,54.562530601288834,8.000000000000004,9.0,1.5226202674203062,1.167398308782398,2.2,10.470286210823883,12.670286210823882,12.02276666695536,0.9611111111111111,17.918505573023815,2.5606378198315856,4,0.5777892544598371,268403.3552957869,11.919341665505579,0.9291666666666667,34.19043745924793,0.16031811410017735,512142.494009576,0,88.85947457853494,0,inf,0.0,-4,1.1405254214650569,11.48534486078793,0.779361840863146,34.25885972769388,0,0.1596783744778442,5.619689436571101,513167.3990360024,11.040838076990225,0.530945903948514,1.0,680.0,6.0,854.8119908058152,0.74,963.5304298413904,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,884.7808068824019
2,0.038008500052210216,2.7928480087537886,12.999999999999998,0.225413662101861,0.6000000000000002,0.09473734509760168,10.370924338830205,3.0,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,6.222554603298125,2.142554603298125,4.08,0.26,0.31808454766818506,0.7129136587673635,0.03697114686257609,0.13958525,0.675,0.3165584133635739,-0.002765720897840956,5.606319782587548,0.06911373121625405,0.3166711997124243,0.0004933220017935654,0.5435532361124392,0.2506017258910967,0.13304111742634558,1.0163571566825578,55.547711733142826,8.400000000000002,9.399999999999999,1.5169664972414336,1.1612359030712316,2.2,10.173851624396708,12.373851624396707,12.019226667238415,0.96,17.132080386544743,2.5150996649274218,4,0.5992997043134296,235081.72146428344,11.917511665652052,0.928611111111111,34.17951909945881,0.152194292841567,469002.01303238544,0,89.54752962745654,34.17981971841175,0.15219161568948525,469006.13804343884,0,0.4524703725434591,11.483125883130334,0.7784062088507548,34.27607352236626,0,0.15133804923324432,5.857393061634514,470326.9064160227,11.039427563986218,0.5290346399237319,1.0,680.0,6.0,867.8925968098607,0.74,964.0145678165511,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,889.302388208804
2,0.034330961058657586,2.673948391424188,13.000000000000004,0.21581715055494927,0.55,0.08314542712053494,11.233890820705534,3.0,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,6.178639951388044,2.0986399513880443,4.08,0.26,0.31808454766818506,0.6747183357498446,0.03125181797001508,0.13958525,0.675,0.3155400631746598,0.1186986886170212,5.590698684591607,0.06891667750670304,0.3109578265682732,-0.021231458769932255,0.5657650732360247,0.23993288561865933,0.13014007508046677,1.029927039300874,62.730539926221006,9.0,9.999999999999996,1.5168903616789982,1.159530859650137,2.2,10.687846127422253,12.887846127422254,12.0140000006964,0.9583333333333334,18.010052201872114,2.5282467988977375,4,0.587959177873367,236608.0138520121,11.91476666587176,0.9277777777777778,30.82810097654489,0.2026513262031797,405005.8079304925,0,22.2376765727704,19.005290540506405,0.5332047007237817,249683.01019150956,4,67.7623234272296,11.776314362180916,0.8718921158711522,34.277347933506256,0,0.16391872608485558,5.657114661469904,450320.47235366906,11.352907273241462,0.7160064539645267,0.0,680.0,6.0,865.8459767447804,0.74,964.0504106298634,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,0.0
2,0.02931693451643441,2.5149552679918585,11.499999999999996,0.22946090927054466,0.5500000000000003,0.0840523756911955,11.063256408787417,3.0,aeronaut14x8,acc24,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,6.084791024833082,2.0047910248330822,4.08,0.26,0.31808454766818506,0.5804310282758648,0.03169019888903213,0.13958525,0.675,0.3174278256128235,-0.006382454291789094,5.483329300567751,0.06947137837691897,0.3176970855390068,0.0011639742831290921,0.5366592487099899,0.25510121858431983,0.133371401254847,1.011527380160833,57.75102286499434,8.400000000000002,9.399999999999999,1.5193114086016464,1.1661472188541888,2.2,10.553259512738297,12.753259512738296,12.019226667238415,0.96,18.110314493964445,2.552478262554888,4,0.5725912038688877,252966.62492531457,11.917511665652052,0.928611111111111,34.22410543551627,0.16193158423471007,478045.61571782397,0,89.33246023648549,34.27724025132638,0.1614299373144188,478787.8079655617,0,0.6675397635145117,11.483819481955232,0.7787049163382146,34.27767751714579,0,0.16142581875396195,5.6332555983311225,478793.91573683015,11.039868456202877,0.5296320548986515,1.0,680.0,6.0,870.9180597578369,0.74,964.0596801697253,3200.0,14.399999999999999,9.6,52.0,0.0,0.0,890.3259133091874
