payload;span;aspect_ratio;airfoil;total mass;take_off_length;climb_height;efficiency_points;distance;score_payload;score_efficiency;score_distance;b_loading;penalty_current;take_off_factor;penalty_round;score_round;score_round_corrected
4.59;2;8; ag45c;6.39758896;78.71624354;36.84837768;0.55032596;2811.156231;765;743.6837293;878.4863221;54.66666667;0;1;0;850.3900171;0
4.59;1.5;14; ag45c;6.46651397;223.5264317;8.853160576;0.603071171;2960.113085;765;814.9610416;925.035339;54.66666667;0;1;0;889.6654602;0
4.59;1.5;16; ag45c;6.464671517;224.6902611;6.993744273;0.602940001;2966.251789;765;814.7837852;926.9536841;54.66666667;0;1;0;890.2458231;0
4.59;2;10; ag45c;6.352805159;110.0132933;32.13561091;0.570500426;2871.264722;765;770.9465221;897.2702256;54.66666667;0;1;0;865.7389159;0
4.59;2;12; ag45c;6.396502367;170.4047195;21.91993712;0.568416506;2905.399201;765;768.1304132;907.9372502;54.66666667;0;1;0;868.3558878;0
4.59;2;14; ag45c;6.933557542;197.8570033;12.74443225;0.574481091;2912.049846;765;776.3257986;910.0155769;54.66666667;0;1;0;871.7804585;0
4.59;2.5;12; ag45c;6.647910876;87.62677623;34.53341022;0.554352244;2816.839431;765;749.1246542;880.2623223;54.66666667;0;1;0;852.7956588;0
4.59;2.5;10; ag45c;6.655785939;64.97906935;38.53645476;0.561506366;2746.316965;765;758.7923868;858.2240516;54.66666667;0;1;0;848.6721461;0
4.59;2;16; ag45c;6.925569574;199.6275485;12.25608468;0.588046445;2922.866853;765;794.6573581;913.3958914;54.66666667;0;1;0;879.0177498;0
4.59;2.5;14; ag45c;6.838494501;137.3238631;23.75626374;0.567169262;2848.163563;765;766.4449484;890.0511135;54.66666667;0;1;0;861.8320206;0
4.59;2.5;16; ag45c;7.496215815;172.9314785;12.52087036;0.567146708;2858.320147;765;766.4144705;893.2250458;54.66666667;0;1;0;862.8798388;0
4.59;3;14; ag45c;7.032514722;79.38880549;32.86505655;0.513193458;2758.384238;765;693.5046733;861.9950742;54.66666667;0;1;0;828.1665825;0
4.59;3;16; ag45c;8.149361876;150.8435525;11.64006073;0.544584386;2777.273438;765;735.9248461;867.8979493;54.66666667;0;1;0;844.2742651;0
4.59;3.5;16; ag45c;8.63820676;135.5058105;10.9393928;0.517431331;2692.305789;765;699.2315288;841.3455591;54.66666667;0;1;0;823.1923626;0
5.1;1.5;10; ag45c;6.682565252;210.401695;10.58959841;0.58098312;2899.944752;850;785.1123242;906.232735;54.66666667;0;1;0;901.7816864;0
5.1;1.5;8; ag45c;6.657622087;208.7551622;11.62869716;0.57580975;2866.260592;850;778.1212837;895.7064351;54.66666667;0;1;0;895.942573;0
5.1;1.5;12; ag45c;7.029854371;197.793159;7.933777127;0.549940223;2896.394811;850;743.1624629;905.1233785;54.66666667;0;1;0;887.4286138;0
5.1;2;8; ag45c;6.943361591;118.4342082;23.69545217;0.542294684;2780.470497;850;732.8306534;868.8970304;54.66666667;0;1;0;871.9092279;0
5.1;1.5;14; ag45c;7.025076075;199.145643;6.06351243;0.578325205;2911.175659;850;781.5205472;909.7423935;54.66666667;0;1;0;901.7543136;0
5.1;1.5;16; ag45c;7.080786254;197.6874648;3.388796821;0.572039623;2906.615382;850;773.0265172;908.3173067;54.66666667;0;1;0;898.4479413;0
5.1;2;10; ag45c;6.912788317;182.9439186;14.50628622;0.563837591;2838.418139;850;761.9426911;887.0056683;54.66666667;0;1;0;887.6494531;0
5.1;2;12; ag45c;7.000064472;192.9991982;12.70856409;0.559523852;2868.200484;850;756.1133141;896.3126512;54.66666667;0;1;0;888.8086551;0
5.1;2.5;8; ag45c;7.305518202;69.62395253;29.96891424;0.515250318;2629.424458;850;696.2842138;821.6951431;54.66666667;0;1;0;843.993119;0
5.1;2.5;10; ag45c;7.205821728;92.86309271;27.1118981;0.52742007;2742.667493;850;712.7298243;857.0835914;54.66666667;0;1;0;861.2711386;0
5.1;2;16; ag45c;7.496921153;177.1061482;10.20576383;0.579433893;2890.885157;850;783.0187749;903.4016114;54.66666667;0;1;0;900.1401288;0
5.1;2.5;12; ag45c;7.227551929;139.0677864;19.42636032;0.549403353;2791.070858;850;742.4369636;872.2096432;54.66666667;0;1;0;876.2155356;0
5.1;2;14; ag45c;7.513435437;175.3466673;10.79250933;0.568617067;2872.86246;850;768.4014419;897.7695187;54.66666667;0;1;0;893.3903202;0
5.1;2.5;14; ag45c;8.045767133;156.7979148;11.05961512;0.556074885;2806.71016;850;751.4525478;877.096925;54.66666667;0;1;0;880.8498243;0
5.1;2.5;16; ag45c;8.085330552;156.8455477;11.03727626;0.555383128;2826.045711;850;750.5177411;883.1392847;54.66666667;0;1;0;882.552342;0
5.1;3;10; ag45c;7.561426925;65.04744198;30.53051018;0.509263951;2596.69016;850;688.1945283;811.4656749;54.66666667;0;1;0;837.8867344;0
5.1;3;12; ag45c;7.527964868;85.35262417;26.51099953;0.523444494;2674.072213;850;707.3574242;835.6475666;54.66666667;0;1;0;852.3349969;0
5.1;3;14; ag45c;7.689129459;132.6916829;17.71312732;0.51709587;2735.818911;850;698.7782022;854.9434097;54.66666667;0;1;0;855.907204;0
5.1;3;16; ag45c;8.776134507;134.8292728;10.36823364;0.535912556;2751.378033;850;724.206157;859.8056353;54.66666667;0;1;0;866.0039308;0
5.1;3.5;12; ag45c;7.904530365;66.12200875;27.95654091;0.494721198;2556.622684;850;668.5421598;798.9445888;54.66666667;0;1;0;827.1622495;0
5.1;3.5;14; ag45c;7.979659658;90.54588742;22.89751878;0.502151864;2609.263823;850;678.5835994;815.3949447;54.66666667;0;1;0;835.992848;0
5.1;3.5;16; ag45c;9.54492676;112.3527639;9.541168824;0.509918176;2667.608419;850;689.0786168;833.6276308;54.66666667;0;1;0;845.5687492;0
5.61;1.5;8; ag45c;7.205526298;186.6333677;9.464385612;0.557805044;2820.812046;935;753.7905999;881.5037643;54.66666667;0;1;0;911.4314547;0
5.61;1.5;10; ag45c;7.249653673;187.1513511;8.277991327;0.56061343;2849.597761;935;757.5857159;890.4993005;54.66666667;0;1;0;915.6950055;0
5.61;1.5;12; ag45c;7.588416476;175.6106217;5.367546296;0.565499516;2845.255375;935;764.1885351;889.1423048;54.66666667;0;1;0;917.4436133;0
5.61;1.5;16; ag45c;7.680558885;178.8613993;-0.055068475;0.562035548;2841.752828;935;759.5074967;888.0477588;54.66666667;0;1;0;915.5184185;0
5.61;1.5;14; ag45c;7.57795397;176.9191556;3.476478972;0.56388677;2848.208018;935;762.0091484;890.0650057;54.66666667;0;1;0;917.0247181;0
5.61;2;8; ag45c;7.497660539;168.9164213;11.20795152;0.534783424;2746.858301;935;722.6803028;858.393219;54.66666667;0;1;0;893.3578406;0
5.61;2;10; ag45c;7.47561358;172.7354254;11.35015276;0.554374461;2802.736083;935;749.1546775;875.855026;54.66666667;0;1;0;908.0032345;0
5.61;2;12; ag45c;7.818679209;167.466746;10.26380944;0.546179948;2823.299535;935;738.0810107;882.2811046;54.66666667;0;1;0;906.4540384;0
5.61;2.5;8; ag45c;7.855553991;101.3848287;19.97183286;0.495510838;2605.063235;935;669.6092406;814.0822609;54.66666667;0;1;0;860.8971672;0
5.61;2;14; ag45c;8.088576489;159.2886192;9.070331563;0.559519965;2838.805104;935;756.1080608;887.126595;54.66666667;0;1;0;914.0782186;0
5.61;2;16; ag45c;8.071114837;160.853645;8.322868881;0.562364298;2855.907252;935;759.9517535;892.4710162;54.66666667;0;1;0;917.1409232;0
5.61;2.5;12; ag45c;7.820219297;162.2106199;11.57842629;0.539643744;2763.128134;935;729.2483025;863.4775419;54.66666667;0;1;0;897.2419481;0
5.61;2.5;10; ag45c;7.777173307;156.4332883;12.30632342;0.524977111;2716.635787;935;709.428529;848.9486835;54.66666667;0;1;0;885.7924042;0
5.61;2.5;14; ag45c;8.678697659;140.0048232;9.827651816;0.545283454;2772.709599;935;736.8695319;866.4717497;54.66666667;0;1;0;900.7804272;0
5.61;3;8; ag45c;8.282903953;72.30032345;22.30722894;0.456051661;2482.176022;935;616.2860289;775.6800068;54.66666667;0;1;0;830.3220119;0
5.61;2.5;16; ag45c;8.670892657;141.3984833;9.70036733;0.542589076;2792.187113;935;733.2284806;872.5584728;54.66666667;0;1;0;901.5956511;0
5.61;3;10; ag45c;8.137041661;97.7377472;19.37554468;0.486622099;2576.107613;935;657.597431;805.0336291;54.66666667;0;1;0;853.87702;0
5.61;3;12; ag45c;8.120632237;143.0774449;12.05094166;0.511746452;2674.058291;935;691.5492601;835.6432159;54.66666667;0;1;0;875.397492;0
5.61;3;14; ag45c;8.469375775;138.6724721;10.85867817;0.523165854;2710.460618;935;706.9808835;847.0189432;54.66666667;0;1;0;884.3332756;0
5.61;3.5;8; ag45c;8.808276142;61.63762692;21.17385927;0.421126517;2354.117481;935;569.0898874;735.661713;54.66666667;0;1;0;801.2505334;0
5.61;3;16; ag45c;9.381591349;119.8872274;9.256786381;0.52726307;2723.663705;935;712.5176617;851.144908;54.66666667;0;1;0;887.5541899;0
5.61;3.5;10; ag45c;8.548585342;76.64288994;20.84690574;0.449796314;2466.735951;935;607.8328571;770.8549848;54.66666667;0;1;0;825.8959473;0
5.61;3.5;12; ag45c;8.502881944;105.9793396;15.48038545;0.469137708;2493.567646;935;633.9698762;779.2398894;54.66666667;0;1;0;837.4032552;0
5.61;3.5;16; ag45c;10.18969939;97.30902483;8.625148837;0.502463812;2644.354263;935;679.0051507;826.3607071;54.66666667;0;1;0;868.1219526;0
5.61;3.5;14; ag45c;8.637695447;133.2016774;10.75997178;0.49424299;2623.556233;935;667.8959324;819.8613229;54.66666667;0;1;0;862.2524184;0
1.02;3.5;8; ag45c;3.819348774;2.386302337;100;0.564569505;2423.559058;170;762.931763;757.3622056;54.66666667;0;1.05;0;649.002889;649.002889
3.06;3.5;8; ag45c;6.025412984;12.24965047;57.6067874;0.518746476;1660.000207;510;701.0087514;518.7500646;54.66666667;0;1.05;0;662.8155856;662.8155856
1.02;3;8; ag45c;3.326897637;2.87062822;100;0.618751028;2567.87326;170;836.1500383;802.4603938;54.66666667;0;1.05;0;690.4136513;690.4136513
1.02;3.5;10; ag45c;3.485052711;2.702901001;100;0.627672353;2537.890435;170;848.2058828;793.0907609;54.66666667;0;1.05;0;691.3538253;691.3538253
1.53;3.5;8; ag45c;4.377910879;5.300673577;89.1750392;0.612028393;2428.287471;255;827.0653957;758.8398347;54.66666667;0;1.05;0;701.7168307;701.7168307
1.02;3.5;12; ag45c;3.29842826;2.908643034;100;0.635232038;2616.14323;170;858.4216728;817.5447595;54.66666667;0;1.05;0;703.4882513;703.4882513
1.02;3;10; ag45c;3.104298503;3.142584571;100;0.632179312;2668.644869;170;854.2963671;833.9515215;54.66666667;0;1.05;0;707.786761;707.786761
1.02;2.5;8; ag45c;2.932468728;3.375278667;100;0.627199578;2722.514296;170;847.5669974;850.7857174;54.66666667;0;1.05;0;711.3234502;711.3234502
