payload,span,aspect_ratio,airfoil,num_fowler_segments,total mass,wing_area,wing_loading,take_off_length,climb_height,efficiency_points,v1,t1,v2,distance,score_payload,score_efficiency,score_distance,b_loading,penalty_current,take_off_factor,penalty_round,score_round
4.08, 2.6, 10.0, ag45c, 1, 6.481859606137704, 0.676, 9.588549713221454, 28.20307673057582, 49.575263725911476, 0.5800138643143944, 25.58126323275888, 40.51879036184229, 23.289990998877677, 2728.8004376911617, 680.0, 783.8025193437762, 852.7501367784881, 54.666666666666664, 0.0, 1.05, 0.0, 868.1934296427924
4.25, 2.6, 10.0, ag45c, 1, 6.68905329034823, 0.676, 9.895049246077264, 32.92447984929967, 45.53585352401147, 0.5663017418480155, 26.120136960396742, 45.86756784818133, 23.66802084186746, 2711.6058410469595, 708.3333333333334, 765.2726241189398, 847.3768253271749, 54.666666666666664, 0.0, 1.05, 0.0, 869.7439739728068
4.42, 2.6, 10.0, ag45c, 1, 6.870137500874545, 0.676, 10.162925297151693, 36.22742530911441, 42.479079320670294, 0.5619008187497818, 26.190800454263496, 47.5173534373712, 23.84065963278578, 2709.034376215564, 736.6666666666667, 759.3254307429485, 846.5732425673638, 54.666666666666664, 0.0, 1.05, 0.0, 877.2978689919427
4.76, 2.6, 10.0, ag45c, 1, 7.239941711400861, 0.676, 10.709972945859262, 45.75329181541368, 36.5445646831256, 0.5442342724036333, 26.78780304805447, 54.164769132520924, 23.997893945709833, 2721.182278342085, 793.3333333333334, 735.4517194643694, 850.3694619819015, 54.666666666666664, 0.0, 1.0, 0.0, 847.7181715932013
4.59, 2.6, 10.0, ag45c, 1, 7.040137500874545, 0.676, 10.414404587092521, 39.55081531092858, 40.27826563691059, 0.5543867777087259, 26.512439708032893, 51.06454230802823, 24.102797906914407, 2709.133290053798, 765.0, 749.1713212280081, 846.6041531418119, 54.666666666666664, 0.0, 1.05, 0.0, 883.6714160294371
4.93, 2.6, 10.0, ag45c, 1, 7.421025921927177, 0.676, 10.977848996933693, 50.421254307980874, 33.77540713301741, 0.5392395472030225, 27.336355372759066, 58.42695811554552, 24.116522903465377, 2719.0059681427115, 821.6666666666666, 728.7020908148952, 849.6893650445974, 54.666666666666664, 0.0, 1.0, 0.0, 854.686040842053
