payload,span,aspect_ratio,airfoil,num_fowler_segments,total mass,wing_area,wing_loading,take_off_length,climb_height,efficiency_points,distance,score_payload,score_efficiency,score_distance,b_loading,penalty_current,take_off_factor,penalty_round,score_round
3.57, 2.2, 8.0, ag45c, 0, 5.445934502585295, 0.6050000000000001, 9.001544632372388, 30.892566539903125, 61.59171988441785, 0.6087827790508822, 2780.156331519615, 595.0, 822.6794311498408, 868.7988535998796, 54.666666666666664, 0.0, 1.05, 0.0, 857.6673996624021
3.57, 1.8, 8.0, ag45c, 0, 5.190884890882066, 0.405, 12.816999730573002, 46.293351429288606, 60.52077691933453, 0.5693760194634891, 2917.960455831524, 595.0, 769.4270533290394, 911.8626424473513, 54.666666666666664, 0.0, 1.0, 0.0, 813.4298985921301
3.57, 2.0, 10.0, ag45c, 0, 5.252733579703477, 0.4, 13.131833949258693, 50.16510433252319, 59.98964573311419, 0.5901502031641062, 2928.358451759037, 595.0, 797.5002745460895, 915.1120161746991, 54.666666666666664, 0.0, 1.0, 0.0, 823.8707635735962
3.57, 2.2, 9.0, ag45c, 0, 5.39775756873138, 0.5377777777777779, 10.03715250383934, 35.28377814095877, 61.70560257828942, 0.6221542980295719, 2821.4146402353304, 595.0, 840.7490513913134, 881.6920750735408, 54.666666666666664, 0.0, 1.05, 0.0, 868.504394262699
3.57, 2.0, 8.0, ag45c, 0, 5.3164647492430435, 0.5, 10.632929498486087, 38.1427451690821, 61.374173363736084, 0.6236975726443361, 2837.013323294787, 595.0, 842.8345576274812, 886.5666635296209, 54.666666666666664, 0.0, 1.05, 0.0, 870.9404274049858
3.57, 2.0, 11.0, ag45c, 0, 5.242755838622765, 0.36363636363636365, 14.417578556212604, 57.62283322595631, 58.706972872540454, 0.5886630951642233, 2950.046014322792, 595.0, 795.4906691408424, 921.8893794758726, 54.666666666666664, 0.0, 1.0, 0.0, 825.4600162055715
3.57, 1.8, 10.0, ag45c, 0, 5.152161542259498, 0.324, 15.901733155121908, 64.24076287289759, 57.098364304394025, 0.6049642975847161, 2972.2680116216725, 595.0, 817.5193210604273, 928.8337536317727, 54.666666666666664, 0.0, 0.0, 0.0, 0.0
3.57, 2.0, 9.0, ag45c, 0, 5.266626867451279, 0.4444444444444444, 11.849910451765378, 43.078833941935294, 61.32557211737276, 0.6071953062156553, 2901.111780955324, 595.0, 820.5341975887235, 906.5974315485387, 54.666666666666664, 0.0, 1.0, 0.0, 828.7105430457541
3.57, 1.8, 11.0, ag45c, 0, 5.1544621024778134, 0.29454545454545455, 17.49971701458517, 77.76838290224968, 54.03920273560621, 0.6050524819317727, 2990.438411380574, 595.0, 817.6384890969902, 934.5120035564294, 54.666666666666664, 0.0, 0.0, 0.0, 0.0
3.57, 1.8, 9.0, ag45c, 0, 5.159993412419059, 0.36000000000000004, 14.333315034497383, 56.34588414134625, 58.56622062701462, 0.5922325392864535, 2948.6048682984574, 595.0, 800.3142422789913, 921.439021343268, 54.666666666666664, 0.0, 1.0, 0.0, 826.9177545407531
3.57, 2.4, 8.0, ag45c, 0, 5.5852149884394535, 0.72, 7.757243039499241, 26.136019467409756, 60.79839211415102, 0.5926207297320353, 2720.808006528979, 595.0, 800.8388239622099, 850.252502040306, 54.666666666666664, 0.0, 1.05, 0.0, 843.5319641008806
3.57, 2.6, 9.0, ag45c, 0, 5.658859683393986, 0.7511111111111112, 7.533984785583709, 25.614520043387085, 60.41406080777823, 0.5929593854978815, 2712.269687998449, 595.0, 801.296466889029, 847.5842774995153, 54.666666666666664, 0.0, 1.05, 0.0, 842.7582605359905
3.57, 2.2, 10.0, ag45c, 0, 5.360967904322472, 0.4840000000000001, 11.07637996760841, 39.84355862510584, 61.46910910803268, 0.552654355099288, 2854.9230540297035, 595.0, 746.8302095936324, 892.1634543842824, 54.666666666666664, 0.0, 1.05, 0.0, 839.2977823922702
3.57, 2.4, 9.0, ag45c, 0, 5.5237096017043115, 0.64, 8.630796252662986, 30.228700200426747, 61.23152364819, 0.6080806733052815, 2767.8647133536906, 595.0, 821.7306396017318, 864.9577229230283, 54.666666666666664, 0.0, 1.05, 0.0, 855.990926883666
3.57, 2.4, 10.0, ag45c, 0, 5.4769856691426835, 0.576, 9.508655675594937, 34.496588244205675, 61.23902433824273, 0.6183759494160065, 2804.051501389964, 595.0, 835.6431748864953, 876.2660941843637, 54.666666666666664, 0.0, 1.05, 0.0, 864.8182441748006
3.57, 2.6, 8.0, ag45c, 0, 5.735490202230899, 0.8450000000000001, 6.787562369504022, 21.831124010040366, 59.77216538721184, 0.5758020162311605, 2667.54346459999, 595.0, 778.1108327448114, 833.6073326874969, 54.666666666666664, 0.0, 1.05, 0.0, 829.751357901308
3.57, 2.6, 10.0, ag45c, 0, 5.600908027190335, 0.676, 8.285366904127713, 27.831371033396252, 61.22804727353946, 0.6055684269183371, 2753.522293387099, 595.0, 818.3357120518069, 860.4757166834685, 54.666666666666664, 0.0, 1.05, 0.0, 853.2340000573465
3.57, 2.2, 11.0, ag45c, 0, 5.345473552621303, 0.44000000000000006, 12.148803528684777, 46.61736550196374, 60.1394156556487, 0.6290169036270971, 2906.7525288798333, 595.0, 850.0228427393203, 908.3601652749479, 54.666666666666664, 0.0, 1.0, 0.0, 839.1276693380894
3.57, 2.4, 11.0, ag45c, 0, 5.45503258432466, 0.5236363636363636, 10.417596949231124, 38.79839450592273, 60.777085167272006, 0.6280109866665061, 2834.445892641036, 595.0, 848.6634954952785, 885.7643414503239, 54.666666666666664, 0.0, 1.05, 0.0, 872.6997429309608
3.57, 2.6, 11.0, ag45c, 0, 5.571523957794617, 0.6145454545454546, 9.066089280435026, 31.745258131983398, 60.939576464360364, 0.614502382074216, 2785.6684418808954, 595.0, 830.4086244246163, 870.5213880877798, 54.666666666666664, 0.0, 1.05, 0.0, 860.9755043793388
