binder_count,binder_mass,span,aspect_ratio,mean_aerodynamic_chord,wing_area,horizontal_stabilizer_area,wing_loading,battery_capacity,propeller,main_wing_airfoil,horizontal_stabilizer_airfoil,fowler_affected_span,fowler_affected_span_ratio,fowler_affected_area,fowler_affected_area_ratio,fuselage_wetted_area,fuselage_length,fuselage_diameter,mass_total,mass_empty,mass_payload,mass_battery,mass_fuselage,mass_wing,mass_horizontal_stabilizer,mass_landing_gear,mass_misc,x_center_of_gravity,c_m_alpha,c_l_alpha,c_n_beta,x_neutral_point,static_margin,percent_mac,transport_box_height,transport_box_width,transport_box_length,take_off_length,take_off_time_from_counter_start,take_off_time_total,cl_max_at_take_off,required_cl_at_take_off,assumed_wind_speed,take_off_ground_speed,take_off_air_speed,takeoff_battery_voltage,takeoff_battery_soc,climb_air_speed,climb_rate,climb_flap_angle,climb_cl,climb_reynolds,climb_battery_voltage,climb_battery_soc,efficiency_motor_on_air_speed,efficiency_motor_on_cl,efficiency_motor_on_reynolds,efficiency_motor_on_flap_angle,efficiency_motor_on_time,efficiency_motor_off_air_speed,efficiency_motor_off_cl,efficiency_motor_off_reynolds,efficiency_motor_off_flap_angle,efficiency_motor_off_time,efficiency_battery_voltage,efficiency_battery_soc,cruise_air_speed,cruise_flap_angle,cruise_cl,cruise_drag_force,cruise_reynolds,cruise_battery_voltage,cruise_battery_soc,score_factor_take_off,score_payload,max_payload,score_efficiency,max_efficiency,score_distance,max_distance,t_loading,t_unloading,b_loading,penalty_current,penalty_round,score_round_no_take_off_factor,score_round
3,0.04497198435108904,3.4641016151377557,15.000000000000012,0.2423124058470774,0.7999999999999998,0.14469380445707447,3.8582380190838164,2.4,aeronaut14x8,ag45c,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,3.0865904152670525,2.0865904152670525,1.0,0.21344,0.31808454766818506,0.6762465264571531,0.06423409114171406,0.13958525,0.675,0.26259071969776515,-1.576051394086747,5.775013967926406,0.07328342364366267,0.3287185003676421,0.27290867222831133,0.2785719880782739,0.2693887608403311,0.17099474825720468,0.959616490902464,4.330028209619959,1.0,1.4,1.5496479915647383,0.9949432627652844,2.2,5.953644062296606,8.153644062296607,11.97343333206546,0.9777777777777777,15.336350615702113,5.3544746781562536,0,0.26464156713947273,226217.50203044194,11.78391666688065,0.9236111111111112,26.09759146298748,0.09711827429187189,384950.2464897668,-4,0.0,15.520218431154495,0.2746035547906154,228929.6282042428,0,90.0,11.673958333038774,0.8784722222222222,32.581734850100254,-4,0.06230937617543757,6.732707620415861,480594.037936348,11.273500000306901,0.7222222222222222,1.05,166.66666666666666,6.0,943.797066759395,0.74,916.3612926590696,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,733.6475577146516,770.3299356003843
4,0.0564078382665575,4.2426406871192865,15.000000000000004,0.29677087633576527,1.2000000000000004,0.26581949239640906,2.8592870285827465,2.4,aeronaut14x8,ag45c,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,3.4311444342992967,2.4311444342992967,1.0,0.21344,0.31808454766818506,0.9404540015541263,0.14458063507698563,0.13958525,0.675,0.29774873290071185,-1.234989500493306,5.867411869494658,0.07235982051629004,0.3602149917567428,0.2104828377421665,0.3345038266798817,0.3299325032497309,0.2200420298417109,0.8500254669085581,2.7941813866219025,0.8,1.2,1.5498375503075639,1.086678748107831,2.2,4.516371169398907,6.716371169398907,11.977320832583391,0.9784722222222222,14.172019091801378,4.648275393090112,0,0.23130823037528392,256024.50313931462,11.785004166793778,0.9239583333333333,20.37706993219513,0.11805573226712458,368121.80191342084,-4,0.0,14.333399136994991,0.23860094633105725,258939.91311863065,0,90.0,11.673958333038774,0.8784722222222222,29.671591183031985,-4,0.055678673234009386,7.365919741495849,536031.9048951434,11.273500000306901,0.7222222222222222,1.05,166.66666666666666,6.0,871.6256231956414,0.74,834.5135020227744,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,682.3078129813019,716.4232036303671
3,0.05152306671270523,3.6742346141747677,15.000000000000005,0.2570111180101428,0.8999999999999999,0.17265482492728101,3.52629906334091,2.4,aeronaut14x8,ag45c,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,3.173669157006819,2.173669157006819,1.0,0.21344,0.31808454766818506,0.746426980511465,0.08113237882716871,0.13958525,0.675,0.2702612696870483,-1.513683376384262,5.799909135157047,0.07315263239155508,0.3373354929945959,0.2609839811470211,0.2889236065418698,0.28572992934845876,0.17794706030964122,0.9363230103419,3.1001396751219343,0.8,1.2,1.5494126786578721,1.1630825700065288,2.2,5.0095921262967895,7.20959212629679,11.977320832583391,0.9784722222222222,15.738914966623003,5.165822972476223,0,0.23130823037528392,246238.08442175298,11.785004166793778,0.9239583333333333,21.5967306162102,0.129615194681784,337884.6374089827,-2,0.16072992050597146,15.50841583863181,0.25136051865262815,242631.8851470381,0,89.83927007949403,11.673626827536546,0.8781931772213438,31.780112237790515,-4,0.05985784613559652,6.909570194967939,497205.42850235035,11.2723397310971,0.7216641322204653,1.05,166.66666666666666,6.0,938.5652648617842,0.74,893.8156566878583,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,724.3884117583775,760.6078323462964
4,0.04891636907406202,4.06201920231798,15.000000000000002,0.2841364817964655,1.1,0.23329422214115575,3.0333226802440527,2.4,aeronaut14x8,ag45c,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,3.336654948268458,2.336654948268458,1.0,0.21344,0.31808454766818506,0.8692744885539451,0.12127066204632826,0.13958525,0.675,0.28860445335833884,-1.325377428999903,5.845984206247883,0.07263158570340623,0.3530190489385089,0.22671587576021993,0.3199472034731425,0.3158863223411984,0.2129266577056795,0.8711870199531221,2.9002154825256974,0.8,1.2,1.5495770354901262,1.09647008370246,2.2,4.686797471463343,6.8867974714633435,11.977320832583391,0.9784722222222222,14.59068506027474,4.825217816861964,0,0.23130823037528392,252366.21031969044,11.785004166793778,0.9239583333333333,28.18601454263411,0.06545820112177893,487516.36025007267,-4,0.004117903543875266,14.587152430575516,0.24439390294630967,252305.10857114516,0,89.99588209645613,11.673949839861661,0.8784650730841252,30.34362157025739,-4,0.05648024638916303,7.231236236439457,524835.1774729128,11.273470274235,0.7222079239460282,1.05,166.66666666666666,6.0,886.9611020223496,0.74,853.4143566634891,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,693.7199241371096,728.4059203439651
4,0.04178643311690673,3.8729833462074175,15.000000000000005,0.27091350563279126,1.0,0.20221573918067529,3.244867258685829,2.4,aeronaut14x8,ag45c,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,3.244867258685829,2.244867258685829,1.0,0.21344,0.31808454766818506,0.7986248377388481,0.1001326232787963,0.13958525,0.675,0.2799000053150518,-1.408381063023701,5.823504065325507,0.07286162627454172,0.3454180299530578,0.24184426544999402,0.3064829595493175,0.3011857908067068,0.2055323852397106,0.8932818239535825,3.0093495974107833,0.8,1.2,1.549508182803677,1.1153485606494764,2.2,4.862355266831975,7.062355266831975,11.977320832583391,0.9784722222222222,15.088135852565735,5.008282277870057,0,0.23130823037528392,248825.43158011787,11.785004166793778,0.9239583333333333,24.936712856941625,0.08946050049344931,411242.8731719588,-4,0.0,15.250920670897505,0.2391760054651773,251509.99136085488,0,90.0,11.673958333038774,0.8784722222222222,31.009836665058007,-4,0.05785098728429685,7.064158709650473,511397.5687128978,11.273500000306901,0.7222222222222222,1.05,166.66666666666666,6.0,927.420851608632,0.74,872.1516562047565,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,713.4522738462929,749.1248875386076
3,0.03850768685383363,3.2403703492039306,15.000000000000004,0.2266625008111706,0.7000000000000001,0.11843007799595806,4.287706389156116,2.4,aeronaut14x8,ag45c,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,3.0013944724092814,2.0013944724092814,1.0,0.21344,0.31808454766818506,0.605884607444392,0.04940006729670454,0.13958525,0.675,0.2555253868128558,-1.621127944057226,5.748548428244354,0.07335011066331214,0.3194495902037884,0.28200648638396,0.2709573100388883,0.2519901117280259,0.15188412183874545,0.9961257664332286,4.4905591526729856,1.0,1.4,1.5494840735369657,1.048286065104528,2.2,6.1739239299185735,8.373923929918574,11.97343333206546,0.9777777777777777,16.183395052811655,5.561875096825066,0,0.26464156713947273,223294.40233056858,11.78391666688065,0.9236111111111112,21.485504071273187,0.15923800988636677,296451.56499670475,-2,0.2376395103640114,15.827500466698275,0.29343584566973724,218383.85861341047,0,89.762360489636,11.673468201487758,0.8780596536278402,33.46224623823446,-4,0.06564893030903791,6.547614285368883,461703.6320266265,11.271784539926337,0.7213970850334583,1.05,166.66666666666666,6.0,955.7587375777354,0.74,941.1256754503441,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,745.8895755845232,783.1840543637494
2,0.0162204329785512,3.0000000000000004,15.0,0.20984869911569395,0.6000000000000001,0.09398138282253342,4.834468059686165,2.4,aeronaut14x8,ag45c,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,2.9006808358116993,1.9006808358116993,1.0,0.21344,0.31808454766818506,0.5179804236097595,0.03659061453375493,0.13958525,0.675,0.2504886248449888,-1.605745717885308,5.720224764237586,0.07324835390135585,0.3093977794643519,0.2807137453626489,0.273644131413673,0.23329751038173732,0.12917319117679293,1.0375292984414697,4.6899940873781745,1.0,1.4,1.549351590861523,1.108747552285462,2.2,6.445983634959678,8.645983634959677,11.97343333206546,0.9777777777777777,16.722001694490167,5.809589380613851,0,0.2791278417819292,213610.7321381337,11.78391666688065,0.9236111111111112,23.24765560061341,0.15335684526818366,296970.9502528322,-2,8.330234321944832,19.126377809263357,0.22656667535566885,244324.79087318166,0,81.66976567805517,11.648041224595369,0.8640100098577347,34.257316577967835,-4,0.07062440634398237,6.298731189583492,437610.9157863976,11.21879000801402,0.693297797493247,1.05,166.66666666666666,6.0,966.5447447090155,0.74,963.4870287553454,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,756.9386957299503,794.7856305164478
2,0.009653586029070942,2.4494897427831788,15.000000000000005,0.1713407453400952,0.4000000000000001,0.05115698516363883,6.858663564574989,2.4,aeronaut14x8,ag45c,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,2.743465425829996,1.7434654258299962,1.0,0.21344,0.31808454766818506,0.38047924624208024,0.016876381919731225,0.13958525,0.675,0.23940757875638377,-1.535288035725652,5.655607984733003,0.07304192183255427,0.2859224620998023,0.2714629514404244,0.2844685007687806,0.1904866195656392,0.11748822315539724,1.0920251572789634,6.507716402822441,1.2,1.5999999999999999,1.5491829743707846,1.1835687486558508,2.2,7.767343006818211,9.967343006818211,11.969858332350864,0.9770833333333333,17.309066658320685,6.255335126733499,0,0.36777734256171507,180535.58863966254,11.782779166987693,0.9232638888888889,28.959258832352948,0.14020949080347958,302048.4548977074,-2,25.54895281163205,25.094350702636646,0.18672409834214798,261737.01130515928,-2,64.45104718836795,11.570241522049402,0.8341164013686944,34.2619234658635,-4,0.1001679569706587,5.297069830430956,357355.86689553177,11.120176307156482,0.6335105805151665,1.05,166.66666666666666,6.0,1048.297850158006,0.74,963.6165974774108,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,784.2329204536358,823.4445664763176
2,0.01291315327936301,2.738612787525831,15.000000000000005,0.19156477694796664,0.5,0.07149406021865287,5.643387291963466,2.4,aeronaut14x8,ag45c,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,2.821693645981733,1.8216936459817328,1.0,0.21344,0.31808454766818506,0.44981988734845135,0.02576396096509632,0.13958525,0.675,0.24455131279092518,-1.597108953251524,5.689421843976847,0.07319218715125819,0.2983238630523153,0.2807155097740408,0.27468844594574604,0.21297051507645534,0.12359037574854653,1.063439109174998,6.27690441423451,1.2,1.5999999999999999,1.5494180197493048,1.0303346188455613,2.2,7.490299060806498,9.690299060806499,11.969858332350864,0.9770833333333333,17.05812187091199,6.029796378218078,0,0.31246117974981075,198918.60059975568,11.782779166987693,0.9232638888888889,28.82486927264138,0.11644422648624428,336133.291904906,-2,33.22095286940016,26.15676717257145,0.14141143185063051,305019.9524634634,-2,56.77904713059984,11.521333449617432,0.820796956823958,34.28672150099691,-4,0.08230017019829493,5.797435348953772,399825.18074055854,11.080425414923894,0.606871691425694,1.05,166.66666666666666,6.0,999.3007238537996,0.74,964.3140422155382,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,768.133026598276,806.5396779281899
1,0.027820933513931074,2.1213203435596433,15.000000000000004,0.14838543816788263,0.3000000000000001,0.03322743654955114,8.959772589695513,2.4,aeronaut14x8,ag45c,ht14,0.0,0.0,0.0,0.0,0.5163710189418589,1.7,0.09,2.687931776908655,1.687931776908655,1.0,0.21344,0.31808454766818506,0.3319390342551495,0.009882944985320791,0.13958525,0.675,0.23326451772178974,-1.452262535512289,5.617205870374423,0.07292191421583691,0.2716244898580696,0.2585382428605,0.29667175613149327,0.16496625162486545,0.09918816930891662,1.1358455790662179,10.209382555035639,1.5999999999999999,1.9999999999999998,1.5492504941213494,1.1037777344829807,2.2,9.59679622008697,11.796796220086971,11.962874999595774,0.9756944444444444,18.02640090396265,6.427619384386765,0,0.44376941012509463,162827.90422915312,11.780504167169777,0.9225694444444444,33.0142189374778,0.14093138823145115,298209.0605879198,-2,38.42937232436136,28.14828430727253,0.19386790901327575,254256.30805714615,0,51.57062767563864,11.48799439387739,0.8117545619368727,34.282325731205404,-2,0.13069808669944766,4.675427872080443,309663.5474076391,11.053455891801113,0.588786901651523,1.05,166.66666666666666,6.0,1096.1084201769227,0.74,964.1904111901521,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,800.3610483641883,840.3791007823977
