t, F
0,18.5300207
5,18.63354037
10,18.42650104
15,18.5300207
20,18.42650104
25,18.32298137
30,18.2194617
35,18.11594203
40,18.32298137
45,18.2194617
50,18.01242236
55,17.80538302
60,17.59834369
65,17.59834369
70,17.39130435
75,17.59834369
80,17.59834369
85,17.59834369
90,17.49482402
95,17.49482402
100,17.39130435
105,17.49482402
110,17.28778468
115,17.28778468
120,17.39130435
125,17.28778468
130,17.18426501
135,17.18426501
140,17.18426501
145,17.18426501
150,17.08074534
155,17.08074534
160,17.08074534
165,17.28778468
170,17.18426501
175,17.18426501
180,17.08074534
185,17.08074534
190,16.97722567
195,16.97722567
200,16.873706
205,16.873706
210,16.873706
