t, u
0,12.283
0.1,12.271
0.2,12.255
0.3,12.255
0.4,12.254
0.5,12.249
0.6,12.233
0.7,12.231
0.8,12.198
0.9,12.193
1,12.193
1.1,12.146
1.2,12.139
1.3,12.13
1.4,12.126
1.5,12.12
1.6,12.114
1.7,12.109
1.8,12.108
1.9,12.106
2,12.103
2.1,12.098
2.2,12.08
2.3,12.073
2.4,12.061
2.5,12.06
2.6,12.057
2.7,12.054
2.8,12.054
2.9,12.054
3,12.054
3.1,12.054
3.2,12.041
3.3,12.032
3.4,12.013
3.5,12.01
3.6,12.009
3.7,12.006
3.8,12.002
3.9,11.999
4,11.995
4.1,11.994
4.2,11.994
4.3,11.994
4.4,11.994
4.5,11.994
4.6,11.994
4.7,11.988
4.8,11.988
4.9,11.987
5,11.987
5.1,11.986
5.2,11.983
5.3,11.981
5.4,11.977
5.5,11.977
5.6,11.977
5.7,11.977
5.8,11.976
5.9,11.976
6,11.975
6.1,11.973
6.2,11.973
6.3,11.972
6.4,11.969
6.5,11.967
6.6,11.967
6.7,11.963
6.8,11.962
6.9,11.959
7,11.958
7.1,11.954
7.2,11.953
7.3,11.952
7.4,11.952
7.5,11.951
7.6,11.95
7.7,11.949
7.8,11.949
7.9,11.948
8,11.947
8.1,11.945
8.2,11.944
8.3,11.944
8.4,11.944
8.5,11.943
8.6,11.943
8.7,11.942
8.8,11.941
8.9,11.939
9,11.939
9.1,11.938
9.2,11.938
9.3,11.937
9.4,11.937
9.5,11.934
9.6,11.934
9.7,11.933
9.8,11.933
9.9,11.931
10,11.931
10.1,11.931
10.2,11.93
10.3,11.929
10.4,11.929
10.5,11.927
10.6,11.927
10.7,11.926
10.8,11.925
10.9,11.923
11,11.923
11.1,11.921
11.2,11.92
11.3,11.919
11.4,11.919
11.5,11.916
11.6,11.915
11.7,11.913
11.8,11.913
11.9,11.912
12,11.911
12.1,11.909
12.2,11.909
12.3,11.908
12.4,11.907
12.5,11.907
12.6,11.905
12.7,11.905
12.8,11.903
12.9,11.903
13,11.902
13.1,11.901
13.2,11.9
13.3,11.899
13.4,11.898
13.5,11.897
13.6,11.897
13.7,11.895
13.8,11.895
13.9,11.895
14,11.893
14.1,11.892
14.2,11.892
14.3,11.891
14.4,11.891
14.5,11.891
14.6,11.891
14.7,11.887
14.8,11.887
14.9,11.887
15,11.886
15.1,11.886
15.2,11.886
15.3,11.884
