v1,v_1,t_1,points,v_2,h_1
0,12.245070956738719,0.0,,0.0,0.0
1,12.454962010084545,0.0,,0.0,0.0
2,12.66485306343037,0.0,0.02629842574220314,0.0,0.0
3,12.874744116776196,0.0,0.01080238336221347,0.0,0.0
4,13.08463517012202,0.0,0.006861375276866215,0.0,0.0
5,13.294526223467846,0.0,0.005060628981539726,0.0,0.0
6,13.50441727681367,0.0,0.004848767155410861,0.0,0.0
7,13.714308330159497,0.0,0.004911058754075442,0.0,0.0
8,13.924199383505321,0.0,0.004973042035988615,0.0,0.0
9,14.134090436851148,0.0,0.005034716058397292,0.0,0.0
10,14.343981490196974,0.0,0.0050960355962953495,0.0,0.0
11,14.553872543542798,0.0,0.005157308914255558,0.0,0.0
12,14.763763596888623,0.0,0.005218460040997212,0.0,0.0
13,14.97365465023445,0.0,0.005279258893561819,0.0,0.0
14,15.183545703580275,0.0,0.00533970589058661,0.0,0.0
15,15.3934367569261,0.0,0.0053998014308724255,0.0,0.0
16,15.603327810271924,0.0,0.005460013845268982,0.0,0.0
17,15.81321886361775,0.0,0.0055206983946257645,0.0,0.0
18,16.023109916963577,0.0,0.005581062585268673,0.0,0.0
19,16.2330009703094,0.0,0.0056411065316321965,0.0,0.0
20,16.442892023655226,0.0,0.005700830328696213,0.0,0.0
21,16.652783077001054,0.0,0.0057605015705637615,0.0,0.0
22,16.86267413034688,0.0,0.005821302100676981,0.0,0.0
23,17.072565183692703,0.0,0.005881821437674283,0.0,0.0
24,17.282456237038527,0.0,0.005942059388969563,0.0,0.0
25,17.492347290384355,0.0,0.006002015741439598,0.0,0.0
26,17.70223834373018,0.0,0.0060616902620226915,0.0,0.0
27,17.912129397076004,0.0,0.0061218056240191,0.0,0.0
28,18.12202045042183,0.0,0.006181695048554923,0.0,0.0
29,18.331911503767657,0.0,0.006241318449257648,0.0,0.0
30,18.54180255711348,0.0,0.006300675442136729,0.0,0.0
31,18.751693610459306,0.0,0.006359775011553992,0.0,0.0
32,18.961584663805134,0.0,0.0064196312162347275,0.0,0.0
33,19.171475717150958,0.0,0.006479674380109098,0.0,0.0
34,19.381366770496783,0.0,0.006539572315916169,0.0,0.0
35,19.59125782384261,0.0,0.0065993273515910335,0.0,0.0
36,19.80114887718843,0.0,0.006658941791722774,0.0,0.0
37,20.01103993053426,0.0,0.006718052529625062,0.0,0.0
38,20.220930983880084,0.0,0.006776687569518495,0.0,0.0
39,20.43082203722591,0.0,0.006835174635167851,0.0,0.0
40,20.640713090571737,0.0,0.006893515925528287,0.0,0.0
41,20.85060414391756,0.0,0.006951713617146358,0.0,0.0
42,21.060495197263386,0.0,0.007010206652168641,0.0,0.0
43,21.270386250609214,0.0,0.007069524627977511,0.0,0.0
44,21.480277303955035,0.0,0.007128732614478824,0.0,0.0
45,21.690168357300863,0.0,0.007187832748566147,0.0,0.0
46,21.90005941064669,0.0,0.0072468271484335475,0.0,0.0
47,22.10995046399251,0.0,0.007305780080798465,0.0,0.0
48,22.31984151733834,0.0,0.007365166212056965,0.0,0.0
49,22.529732570684164,0.0,0.007424464337002496,0.0,0.0
50,22.73962362402999,0.0,0.007483676535211047,0.0,0.0
51,22.949514677375817,0.0,0.0075428048700483695,0.0,0.0
52,23.15940573072164,0.0,0.007601851388977968,0.0,0.0
53,23.369296784067465,0.0,0.007661210100973466,0.0,0.0
54,23.579187837413293,0.0,0.007720421039879566,0.0,0.0
55,23.789078890759114,0.0,0.007779417740295139,0.0,0.0
56,23.998969944104942,0.0,0.007838198192478928,0.0,0.0
57,24.208860997450767,0.0,0.00789676036973309,0.0,0.0
58,24.41875205079659,0.0,0.007955361547603903,0.0,0.0
59,24.62864310414242,0.0,0.008013865769877932,0.0,0.0
60,24.838534157488244,0.0,0.008072152335052101,0.0,0.0
61,25.04842521083407,0.0,0.00813021913404554,0.0,0.0
62,25.258316264179896,0.0,0.00818806404275267,0.0,0.0
63,25.46820731752572,0.0,0.008246254472283263,0.0,0.0
64,25.678098370871545,0.0,0.008304866978925126,0.0,0.0
65,25.88798942421737,0.0,0.008363272023456159,0.0,0.0
66,26.097880477563198,0.0,0.008421467363937873,0.0,0.0
67,26.307771530909022,0.0,0.008479450742594315,0.0,0.0
68,26.51766258425485,0.0,0.008536864393320593,0.0,0.0
69,26.72755363760067,0.0,0.008593052072591659,0.0,0.0
70,26.9374446909465,0.0,0.008648998715726998,0.0,0.0
71,27.147335744292324,0.0,0.008704702094612222,0.0,0.0
72,27.35722679763815,0.0,0.008760159973073042,0.0,0.0
73,27.567117850983976,0.0,0.008815392680308768,0.0,0.0
74,27.777008904329797,0.0,0.00887078517916384,0.0,0.0
75,27.986899957675625,0.0,0.008925932387676439,0.0,0.0
76,28.196791011021453,0.0,0.008981179432640122,0.0,0.0
77,28.406682064367274,0.0,0.009036838282714559,0.0,0.0
78,28.616573117713102,0.0,0.009092921661623139,0.0,0.0
79,28.826464171058927,0.0,0.009149944841233288,0.0,0.0
80,29.036355224404755,0.0,0.00920752155862031,0.0,0.0
81,29.24624627775058,0.0,0.00926557193435611,0.0,0.0
82,29.456137331096404,0.0,0.009324109769861246,0.0,0.0
83,29.666028384442228,0.0,0.009383149106056024,0.0,0.0
84,29.875919437788053,0.0,0.009443093160609579,0.0,0.0
85,30.08581049113388,0.0,0.009503802951988938,0.0,0.0
86,30.295701544479705,0.0,0.009565068592856149,0.0,0.0
87,30.50559259782553,0.0,0.009626905470558703,0.0,0.0
88,30.715483651171354,0.0,0.009689329275933833,0.0,0.0
89,30.925374704517182,0.0,0.009752677617971514,0.0,0.0
90,31.135265757863007,0.0,0.009817097226817124,0.0,0.0
91,31.34515681120883,0.0,0.009882166873413837,0.0,0.0
92,31.55504786455466,0.0,0.009947903982238944,0.0,0.0
93,31.764938917900484,0.0,0.010014326361184775,0.0,0.0
94,31.974829971246308,0.0,0.01008159503987107,0.0,0.0
95,32.184721024592136,0.0,0.010150129294134025,0.0,0.0
96,32.39461207793796,0.0,0.010219418013476086,0.0,0.0
97,32.604503131283785,0.0,0.01028948108616465,0.0,0.0
98,32.814394184629606,0.0,0.010360338880163992,0.0,0.0
99,33.024285237975434,0.0,0.01043201226202361,0.0,0.0
100,12.245070956738719,0.9090909090909092,0.0011328686535720897,0.0,0.0
101,12.454962010084545,0.9090909090909092,0.0011679634206931216,0.0,0.0
102,12.66485306343037,0.9090909090909092,0.027236261168425622,0.0,0.0
103,12.874744116776196,0.9090909090909092,0.011932670712500522,0.0,0.0
104,13.08463517012202,0.9090909090909092,0.008067806337927093,0.0,0.0
105,13.294526223467846,0.9090909090909092,0.006321990041775409,0.0,0.0
106,13.50441727681367,0.9090909090909092,0.006149409818186198,0.0,0.0
107,13.714308330159497,0.9090909090909092,0.006248610637964636,0.0,0.0
108,13.924199383505321,0.9090909090909092,0.006347899059652156,0.0,0.0
109,14.134090436851148,0.9090909090909092,0.006447270163953346,0.0,0.0
110,14.343981490196974,0.9090909090909092,0.0065466752503660144,0.0,0.0
111,14.553872543542798,0.9090909090909092,0.0066464155902128405,0.0,0.0
112,14.763763596888623,0.9090909090909092,0.00674641215209625,0.0,0.0
113,14.97365465023445,0.9090909090909092,0.0068464334007203465,0.0,0.0
114,15.183545703580275,0.9090909090909092,0.006946476024332065,0.0,0.0
115,15.3934367569261,0.9090909090909092,0.007046536740955474,0.0,0.0
116,15.603327810271924,0.9090909090909092,0.007147075522673939,0.0,0.0
117,15.81321886361775,0.9090909090909092,0.0072484404614883095,0.0,0.0
118,16.023109916963577,0.9090909090909092,0.0073498435353679245,0.0,0.0
119,16.2330009703094,0.9090909090909092,0.007451281370491111,0.0,0.0
120,16.442892023655226,0.9090909090909092,0.007552750619266995,0.0,0.0
121,16.652783077001054,0.9090909090909092,0.007654512775966057,0.0,0.0
122,16.86267413034688,0.9090909090909092,0.007757734393380664,0.0,0.0
123,17.072565183692703,0.9090909090909092,0.007861015927912147,0.0,0.0
124,17.282456237038527,0.9090909090909092,0.007964353922012639,0.0,0.0
125,17.492347290384355,0.9090909090909092,0.008067744939737337,0.0,0.0
126,17.70223834373018,0.9090909090909092,0.008171185566666433,0.0,0.0
127,17.912129397076004,0.9090909090909092,0.008275388033261907,0.0,0.0
