binder_count,binder_mass,span,aspect_ratio,mean_aerodynamic_chord,wing_area,horizontal_stabilizer_area,wing_loading,battery_capacity,propeller,main_wing_airfoil,horizontal_stabilizer_airfoil,fowler_affected_span,fowler_affected_span_ratio,fowler_affected_area,fowler_affected_area_ratio,fuselage_wetted_area,fuselage_length,fuselage_diameter,mass_total,mass_empty,mass_payload,mass_battery,mass_fuselage,mass_wing,mass_horizontal_stabilizer,mass_landing_gear,mass_misc,x_center_of_gravity,c_m_alpha,c_l_alpha,c_n_beta,x_neutral_point,static_margin,percent_mac,transport_box_height,transport_box_width,transport_box_length,take_off_length,take_off_time_from_counter_start,take_off_time_total,cl_max_at_take_off,required_cl_at_take_off,assumed_wind_speed,take_off_ground_speed,take_off_air_speed,takeoff_battery_voltage,takeoff_battery_soc,climb_air_speed,climb_rate,climb_flap_angle,climb_cl,climb_reynolds,climb_battery_voltage,climb_battery_soc,efficiency_motor_on_air_speed,efficiency_motor_on_cl,efficiency_motor_on_reynolds,efficiency_motor_on_flap_angle,efficiency_motor_on_time,efficiency_motor_off_air_speed,efficiency_motor_off_cl,efficiency_motor_off_reynolds,efficiency_motor_off_flap_angle,efficiency_motor_off_time,efficiency_battery_voltage,efficiency_battery_soc,cruise_air_speed,cruise_flap_angle,cruise_cl,cruise_drag_force,cruise_reynolds,cruise_battery_voltage,cruise_battery_soc,score_factor_take_off,score_payload,max_payload,score_efficiency,max_efficiency,score_distance,max_distance,t_loading,t_unloading,b_loading,penalty_current,penalty_round,score_round_no_take_off_factor,score_round
3,0.046910943850036226,3.0,10.000000000000004,0.3147730486735408,0.8999999999999997,0.17891346849355713,4.237280243037718,2.4,aeronaut14x8,ag45c,ht14,3.0,1.0,0.8999999999999997,1.0,0.5163710189418589,1.7,0.09,3.8135522187339452,2.8135522187339452,1.0,0.21344,0.31808454766818506,1.382381480502503,0.08506094056325791,0.13958525,0.675,0.29464621330317764,-1.231897207778401,5.454385435809134,0.07363024067242928,0.3657422043658039,0.2258544472656349,0.30196219649874456,0.34994626557260594,0.19632157468944175,0.8537321597379521,2.4531449344319265,0.8,1.2,2.629562475294636,1.8975778449372778,2.2,3.9872860115490285,6.187286011549029,11.977320832583391,0.9784722222222222,14.970971778232624,4.062829754794754,0,0.31246117974981075,286864.00415399927,11.785004166793778,0.9239583333333333,21.19101216029131,0.16176947789381352,406048.3641560171,-2,0.07718050278668953,14.856929518093322,0.3291105915432529,284678.8006901935,0,89.92281949721331,11.673799148232002,0.8783382282937731,29.226444528178018,-4,0.08504484895585823,7.459902434679448,560018.082241529,11.272942853531193,0.721954234365324,1.05,166.66666666666666,6.0,901.3003301155876,0.74,821.9937523550067,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,688.0261320653614,722.4274386686295
2,0.014630375788319052,2.449489742783178,10.0,0.2570111180101428,0.5999999999999999,0.09738815687127322,5.710144590484154,2.4,aeronaut14x8,ag45c,ht14,2.449489742783178,1.0,0.5999999999999999,1.0,0.5163710189418589,1.7,0.09,3.4260867542904916,2.4260867542904916,1.0,0.21344,0.31808454766818506,1.0416633483882876,0.03831360823401922,0.13958525,0.675,0.26818105670266845,-1.360719119117009,5.366253045520887,0.07418449397479955,0.3333499459264535,0.2535696896091727,0.28083060369105634,0.28572992934845876,0.14030074002015186,0.9739693306313892,3.8236619344892953,1.0,1.4,2.629526874343639,1.7448511370753435,2.2,5.2903267082299825,7.490326708229983,11.97343333206546,0.9777777777777777,15.08963648640425,4.609641068548895,2,0.41043607020959727,236080.00874980364,11.78391666688065,0.9236111111111112,20.054291644597793,0.2434138298761915,313752.9092363137,0,0.23500328196884934,14.746050843348275,0.45020306628688983,230704.55111753763,2,89.76499671803116,11.673473638709499,0.8780642304132485,31.108701957105943,-4,0.10115704223760179,7.055546974616493,486701.0969313721,11.27180357020243,0.7214062386042748,1.05,166.66666666666666,6.0,890.0176403916236,0.74,874.9322425436046,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,701.9113988869061,737.0069688312515
3,0.040043601452763186,2.8284271247461903,10.000000000000005,0.2967708763357653,0.7999999999999997,0.1499388762280296,4.612011732226698,2.4,aeronaut14x8,ag45c,ht14,2.8284271247461903,1.0,0.7999999999999997,1.0,0.5163710189418589,1.7,0.09,3.689609385781357,2.689609385781357,1.0,0.21344,0.31808454766818506,1.2761793953596854,0.06732019275348733,0.13958525,0.675,0.2851482891046665,-1.291296516937874,5.426754800972993,0.07388353052140875,0.3557664330960639,0.2379500390742457,0.29204674926695057,0.32993250324973084,0.18830441816872256,0.8817630785815465,2.5666723422058624,0.8,1.2,2.629472387662836,1.948111418606788,2.2,4.170810751401451,6.370810751401451,11.977320832583391,0.9784722222222222,14.818423055637046,4.227468897360188,0,0.3457945177176923,267702.1090327509,11.785004166793778,0.9239583333333333,19.518925877295185,0.20753501026173196,352619.00701492856,-2,0.023505059056416092,14.785596699595217,0.36168082829256687,267109.08474728785,2,89.97649494094358,11.673909853848448,0.878431414828027,29.7946690244707,-4,0.08906889608301767,7.31987886396757,538255.3667037742,11.273330323188757,0.7221406074338319,1.05,166.66666666666666,6.0,898.4389381397697,0.74,837.9750663132384,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,692.3994393928327,727.0194113624744
2,0.01811950086853852,2.6457513110645907,10.000000000000002,0.27760373540527294,0.7,0.12272310395694797,5.070162681268523,2.4,aeronaut14x8,ag45c,ht14,2.6457513110645907,1.0,0.7,1.0,0.5163710189418589,1.7,0.09,3.549113876887966,2.549113876887966,1.0,0.21344,0.31808454766818506,1.1512522549449116,0.051751824274870316,0.13958525,0.675,0.2771824215685998,-1.319341989952623,5.397500166443914,0.07400059045560399,0.3450353636158843,0.24443574789583705,0.28779775541527486,0.30862359698029324,0.146387104824929,0.9449892981947776,2.7040315719777386,0.8,1.2,2.6293764191070013,2.000166915744934,2.2,4.392258456631382,6.592258456631382,11.977320832583391,0.9784722222222222,15.106391762134047,4.425305783794798,0,0.3649935907331489,255278.69619016006,11.785004166793778,0.9239583333333333,20.10523069959502,0.21503867223382003,339752.67955515726,0,0.20466767520997414,14.804733105642704,0.39658248201203505,250181.0507870657,2,89.79533232479002,11.673536205906212,0.8781168963972049,30.43838280385561,-4,0.09381916045165059,7.191626948802738,514369.7316113798,11.272022555390926,0.7215115705721875,1.05,166.66666666666666,6.0,894.4428540175844,0.74,856.079516358439,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,697.1022280338378,731.9573394355298
2,0.01125575759985812,2.23606797749979,10.000000000000004,0.23461797810629584,0.4999999999999999,0.07408568104478902,6.600593525517339,2.4,aeronaut14x8,ag45c,ht14,2.23606797749979,1.0,0.4999999999999999,1.0,0.5163710189418589,1.7,0.09,3.3002967627586686,2.3002967627586686,1.0,0.21344,0.31808454766818506,0.9272259271458742,0.026961037944609578,0.13958525,0.675,0.25961691374710566,-1.383115122233594,5.332370769986845,0.07431606144644051,0.3204759464403572,0.2593808986461394,0.2770961272959348,0.2608345460975138,0.1337407192538373,1.0054247346486487,4.01633660494973,1.0,1.4,2.62935961456331,1.8817129919825193,2.2,5.5548107091743635,7.754810709174364,11.97343333206546,0.9777777777777777,15.595232426047339,4.813400553458461,2,0.44376941012509463,222731.51117924025,11.78391666688065,0.9236111111111112,20.227492536028688,0.2765742141147572,288889.5693783741,0,0.5016059998842693,14.764423640051747,0.5191140580566417,210865.87869936004,2,89.49839400011572,11.672765011016123,0.8776013784724231,31.79241338308186,-4,0.11195636586518203,6.909346816133689,454060.06678181136,11.26987903159338,0.720480534722624,1.05,166.66666666666666,6.0,883.7360209529622,0.74,894.1616263991773,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,706.2273203592099,741.5386863771704
4,0.05435997797766449,3.464101615137755,10.000000000000002,0.36346860877061593,1.2,0.2754553045237462,3.4762376388215785,2.4,aeronaut14x8,ag45c,ht14,3.464101615137755,1.0,1.2,1.0,0.5163710189418589,1.7,0.09,4.171485166585894,3.171485166585894,1.0,0.21344,0.31808454766818506,1.673667188106144,0.15170818081156573,0.13958525,0.675,0.32601143110308517,-1.007008100246201,5.529420123375004,0.07259803636544054,0.3922045061199437,0.18211821091133717,0.33944722654203735,0.40408314126049666,0.24645977766015015,0.749457081079353,2.1624247953682305,0.6000000000000001,1.2,2.630754930732609,1.82352572546832,2.2,3.5168287124867432,5.716828712486743,11.977320832583391,0.9784722222222222,14.381166693030112,3.6380016347202533,0,0.2791278417819292,318192.21734372084,11.786091666706906,0.9243055555555556,27.719730604116805,0.07756115079728348,613316.2025977537,-4,0.0,14.532459259109967,0.2821915639431862,321539.6590427244,0,90.0,11.673958333038774,0.8784722222222222,27.55827591955919,-4,0.07847262247710411,7.776654811565655,609743.9177354402,11.273500000306901,0.7222222222222222,1.05,166.66666666666666,6.0,883.7306306215521,0.74,775.0765102376022,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,666.5304848615482,699.8570091046256
1,0.015799543214103633,2.0000000000000004,10.000000000000007,0.20984869911569398,0.3999999999999999,0.053011398072165095,7.945120504464834,2.4,aeronaut14x8,ag45c,ht14,2.0000000000000004,1.0,0.3999999999999999,1.0,0.5163710189418589,1.7,0.09,3.178048201785933,2.178048201785933,1.0,0.21344,0.31808454766818506,0.8142909860822989,0.017647418035448937,0.13958525,0.675,0.2509324080760174,-1.389884297287977,5.295092536701401,0.07442552789068345,0.3060125538485446,0.2624853650157002,0.27574076717477136,0.23329751038173732,0.11033477350382635,1.0563677161144363,5.457749802257731,1.2,1.5999999999999999,2.6293892012340154,1.7753421586558435,2.2,6.559223536029704,8.759223536029705,11.969858332350864,0.9770833333333333,16.030275836107407,5.0179871815024795,2,0.5049063180882377,204774.4654191376,11.782779166987693,0.9232638888888889,24.454017366217883,0.2277785652925958,312381.29553817754,0,20.148303474147557,21.04807888488652,0.30745981407080614,268873.04659126117,0,69.85169652585245,11.599683249077671,0.843492528690716,32.46864286461141,-2,0.12920669367511284,6.6857557798867315,414761.9824800343,11.153406523599946,0.6522628351592099,1.05,166.66666666666666,6.0,889.0541247433443,0.74,913.1805805671959,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,714.3396730120102,750.0566566626107
3,0.05404371164387217,3.162277660168379,10.0,0.3317999266144773,0.9999999999999998,0.20954594982237584,3.937466512895677,2.4,aeronaut14x8,ag45c,ht14,3.162277660168379,1.0,0.9999999999999998,1.0,0.5163710189418589,1.7,0.09,3.9374665128956763,2.9374665128956763,1.0,0.21344,0.31808454766818506,1.4863425917486515,0.10501412347884037,0.13958525,0.675,0.3044495259980103,-1.166621276928005,5.480539803990331,0.07334329414967772,0.3750789806348782,0.2128661260846238,0.3128091855688404,0.3688757526265342,0.2039698461768926,0.827154401196573,2.3467527857203128,0.8,1.2,2.6298661345218703,1.8656127205753128,2.2,3.815255627002829,6.015255627002829,11.977320832583391,0.9784722222222222,14.432596775325305,3.9078284440954283,0,0.31246117974981075,291507.2013945687,11.785004166793778,0.9239583333333333,19.517382399662367,0.1772093072808663,394208.86001611105,-2,0.0,14.80167846563824,0.3081113796424805,298961.85230070655,0,90.0,11.673958333038774,0.8784722222222222,28.63520831384902,-4,0.08232447630618622,7.569464531097583,578369.1990336555,11.273500000306901,0.7222222222222222,1.05,166.66666666666666,6.0,900.1020688563794,0.74,805.3652338270036,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,682.0838721362911,716.1880657431057
4,0.04643017419866537,3.3166247903554,10.0,0.34799469885547074,1.1,0.24175101089911916,3.678252064974235,2.4,aeronaut14x8,ag45c,ht14,3.3166247903554,1.0,1.1,1.0,0.5163710189418589,1.7,0.09,4.046077271471659,3.046077271471659,1.0,0.21344,0.31808454766818506,1.5727496793355695,0.12721779446790502,0.13958525,0.675,0.3157008240693335,-1.078742305883248,5.505504096377638,0.07294179014437432,0.383884770813503,0.19593887989167233,0.3276795321287658,0.3868801532301331,0.23820665455319465,0.7749131922166721,2.258192642545365,0.6000000000000001,1.2,2.6303803534841266,1.8290580667633722,2.2,3.67169374616724,5.8716937461672405,11.977320832583391,0.9784722222222222,14.788942097821664,3.7753491912228623,0,0.2791278417819292,313284.03297656024,11.786091666706906,0.9243055555555556,8.713215084366016,0.8306104969632729,184577.851733185,6,0.0,14.822741429533567,0.2870101258088654,314000.02678332326,0,90.0,11.673958333038774,0.8784722222222222,28.07938462688046,-4,0.07997957886350286,7.674217922624289,594824.3492484066,11.273500000306901,0.7222222222222222,1.05,166.66666666666666,6.0,901.3829247689331,0.74,789.732692631013,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,677.299977041812,711.1649758939026
1,0.012832515041100135,1.7320508075688774,10.000000000000002,0.18173430438530797,0.3,0.03443191306546828,10.135111770341057,2.4,aeronaut14x8,ag45c,ht14,1.7320508075688774,1.0,0.3,1.0,0.5163710189418589,1.7,0.09,3.040533531102317,2.040533531102317,1.0,0.21344,0.31808454766818506,0.6840991613838526,0.010324572050279326,0.13958525,0.675,0.24342940251468767,-1.327171138465114,5.253010508413583,0.0744048203288234,0.2893440164686448,0.2526496256459844,0.2867537396528666,0.20204157063024833,0.10445698464436953,1.0935014447253821,7.234489036802326,1.4,1.7999999999999998,2.629318513679431,1.7841728515588247,2.2,7.668524108603828,9.868524108603829,11.966349999318709,0.9763888888888889,16.277343613577294,5.245395217142061,2,0.6228972468080994,180073.15287500256,11.781641667078736,0.9229166666666666,27.94909145209175,0.22243644735700902,309195.47668526863,0,35.54940738455464,24.46954695368058,0.29019470402046166,270701.9384721212,0,54.45059261544536,11.507744726798178,0.8167545010684816,33.12662915665329,-2,0.15833861716114217,6.483959657206008,366473.5904072102,11.068252386735312,0.5987867799147408,1.05,166.66666666666666,6.0,907.2027961815454,0.74,931.6864450308735,3200.0,3.529411764705882,2.3529411764705883,58.03921568627451,0.0,0.0,726.5578516459697,762.8857442282682
