fowler v19
0.66473 0.06514
0.65672 0.06474
0.64894 0.06285
0.64218 0.05862
0.63792 0.05191
0.63730 0.04454
0.64034 0.03776
0.64548 0.03234
0.65158 0.02802
0.65816 0.02444
0.66501 0.02141
0.67204 0.01880
0.67916 0.01652
0.68716 0.01417
0.69520 0.01190
0.70325 0.00976
0.71130 0.00754
0.71932 0.00522
0.72733 0.00286
0.73532 0.00048
0.74331 -0.00192
0.75131 -0.00434
0.75930 -0.00676
0.76727 -0.00918
0.77254 -0.01079
0.77779 -0.01239
0.78294 -0.01404
0.78809 -0.01569
0.79322 -0.01737
0.79835 -0.01907
0.80340 -0.02072
0.80846 -0.02237
0.81349 -0.02408
0.81852 -0.02577
0.82349 -0.02754
0.82845 -0.02930
0.83331 -0.03106
0.83818 -0.03284
0.84294 -0.03462
0.84772 -0.03640
0.85241 -0.03824
0.85711 -0.04008
0.86171 -0.04192
0.86632 -0.04378
0.87077 -0.04566
0.87522 -0.04754
0.87959 -0.04939
0.88396 -0.05124
0.88821 -0.05318
0.89245 -0.05512
0.89656 -0.05705
0.90066 -0.05897
0.90464 -0.06090
0.90861 -0.06281
0.91244 -0.06477
0.91625 -0.06672
0.92355 -0.07058
0.93054 -0.07449
0.93723 -0.07829
0.94353 -0.08210
0.94952 -0.08578
0.95509 -0.08938
0.96030 -0.09294
0.96521 -0.09635
0.96972 -0.09961
0.97392 -0.10273
0.97765 -0.10565
0.98119 -0.10840
0.98426 -0.11094
0.98704 -0.11327
0.98956 -0.11539
0.99175 -0.11718
0.99369 -0.11887
0.99530 -0.12031
0.99664 -0.12146
0.99769 -0.12248
0.99860 -0.12315
0.99920 -0.12369
0.99960 -0.12406
0.99972 -0.12420
