acc17_t11_1
0.99930  0.00068
0.99599  0.00216
0.99020  0.00455
0.98204  0.00760
0.97148  0.01110
0.95852  0.01500
0.94323  0.01919
0.92568  0.02364
0.90591  0.02831
0.88409  0.03313
0.86030  0.03803
0.83468  0.04301
0.80735  0.04800
0.77848  0.05295
0.74822  0.05783
0.71676  0.06258
0.68425  0.06716
0.65088  0.07151
0.61682  0.07557
0.58227  0.07933
0.54738  0.08271
0.51235  0.08569
0.47738  0.08821
0.44262  0.09025
0.40824  0.09176
0.37443  0.09274
0.34135  0.09312
0.30913  0.09291
0.27789  0.09210
0.24779  0.09068
0.21897  0.08869
0.19159  0.08613
0.16576  0.08298
0.14162  0.07926
0.11928  0.07495
0.09883  0.07008
0.08034  0.06459
0.06380  0.05847
0.04921  0.05180
0.03652  0.04466
0.02570  0.03718
0.01675  0.02948
0.00968  0.02177
0.00451  0.01422
0.00119  0.00702
0.00000  0.00050
0.00091 -0.00502
0.00485 -0.00960
0.01156 -0.01377
0.02087 -0.01748
0.03277 -0.02072
0.04717 -0.02351
0.06399 -0.02585
0.08317 -0.02775
0.10461 -0.02921
0.12819 -0.03021
0.15374 -0.03077
0.18113 -0.03087
0.21019 -0.03049
0.24078 -0.02955
0.27273 -0.02806
0.30595 -0.02597
0.34035 -0.02329
0.37582 -0.02005
0.41223 -0.01630
0.44947 -0.01212
0.48740 -0.00760
0.52589 -0.00283
0.56474  0.00204
0.60380  0.00687
0.64289  0.01148
0.68178  0.01572
0.72021  0.01939
0.75791  0.02226
0.79451  0.02405
0.82953  0.02464
0.86243  0.02392
0.89264  0.02188
0.91959  0.01871
0.94284  0.01481
0.96205  0.01063
0.97711  0.00664
0.98813  0.00335
0.99540  0.00105
0.99924 -0.00013
