binder_count, binder_mass, span, aspect_ratio, mean_aerodynamic_chord, wing_area, horizontal_stabilizer_area, wing_loading, battery_capacity, propeller, main_wing_airfoil, horizontal_stabilizer_airfoil, fowler_affected_span, fowler_affected_span_ratio, fowler_affected_area, fowler_affected_area_ratio, fuselage_wetted_area, fuselage_length, fuselage_diameter, cargo_bay_length, cargo_bay_wetted_area, mass_total, mass_empty, mass_payload, mass_battery, mass_fuselage, mass_cargo_bay, mass_wing, mass_horizontal_stabilizer, mass_pylon, mass_landing_gear, mass_misc, x_center_of_gravity, c_m_alpha, c_l_alpha, c_n_beta, x_neutral_point, static_margin, transport_box_height, transport_box_width, transport_box_length, take_off_length, take_off_time_from_counter_start, take_off_time_total, cl_max_at_take_off, assumed_wind_speed, take_off_ground_speed, take_off_air_speed, takeoff_battery_voltage, takeoff_battery_soc, climb_air_speed, climb_rate, climb_flap_angle, climb_cl, climb_reynolds, climb_battery_voltage, climb_battery_soc, efficiency_motor_on_air_speed, efficiency_motor_on_cl, efficiency_motor_on_reynolds, efficiency_motor_on_flap_angle, efficiency_motor_off_air_speed, efficiency_motor_off_cl, efficiency_motor_off_reynolds, efficiency_motor_off_flap_angle, efficiency_battery_voltage, efficiency_battery_soc, cruise_air_speed, cruise_flap_angle, cruise_cl, cruise_drag_force, cruise_reynolds, cruise_battery_voltage, cruise_battery_soc, score_factor_take_off, score_payload, max_payload, score_efficiency, max_efficiency, score_distance, max_distance, t_loading, t_unloading, b_loading, penalty_current, penalty_round, score_round
1, 0.05076919826733816, 1.7888543819998317, 8.000000000000002, 0.23618064035061218, 0.3999999999999999, 0.11316770717001395, 13.2466121397045, 2.4, aeronaut14x8, ag45c, ht14, 0.0, 0.0, 0.0, 0.0, 0.12879751550398788, 0.8049844718999242, 0.04, 0.5700000000000001, 0.27432644314973836, 5.298644855881799, 1.7286448558817988, 3.57, 0.21344, 0.07933926955045653, 0.164595865889843, 0.5884152078873336, 0.04662449963025774, 0.01120901292390764, 0.170021, 0.455, 0.053156111151075824, -2.093552293976944, 5.3332015372351, 0.1229232881915224, 0.1458726374916287, 0.3925507557440456, 0.27768164426467973, 0.22773651390000027, 0.89458184183532, 46.38321084161549, 6.400000000000003, 7.0000000000000036, 1.5581481658594043, 2.2, 11.649354680936828, 13.849354680936827, 11.891000000253598, 0.9583333333333333, 18.970378063119952, 3.0678300479400384, 4, 0.6228972468080994, 272739.9810464694, 11.756639582817545, 0.9142361111111111, 32.600571936603984, 0.2136816255811689, 468703.3301344286, -2, 0, inf, 0.0, -4, 11.274946650010927, 0.72299873849688, 32.02637262260414, -2, 0.2214124884079897, 6.195492231378717, 460447.98016216466, 10.836704699905129, 0.4112752547715378, 1.0, 595.0, 6.0, 798.6907681677678, 0.74, 900.7417300107415, 3200.0, 12.599999999999998, 8.399999999999999, 53.0, 0.0, 0.0, 817.8108327261698
1, 0.04165658988960992, 1.5491933384829664, 7.999999999999997, 0.20453843442570616, 0.29999999999999993, 0.0848757803775105, 17.181188179582985, 2.4, aeronaut14x8, ag45c, ht14, 0.0, 0.0, 0.0, 0.0, 0.11154192037077358, 0.6971370023173349, 0.04, 0.5700000000000001, 0.27432644314973836, 5.154356453874895, 1.584356453874895, 3.57, 0.21344, 0.06870982294839653, 0.164595865889843, 0.46924789112907284, 0.032132860983675106, 0.01120901292390764, 0.170021, 0.455, 0.048389595360937177, -2.049086546603093, 5.333237572586144, 0.1231179492371395, 0.1269764414509779, 0.38421062604369766, 0.24047935809784612, 0.2126326849714977, 0.9468879569306561, 66.5704388313554, 7.800000000000004, 8.400000000000002, 1.557690237310482, 2.2, 13.602277297812114, 15.802277297812115, 11.874606248888375, 0.9534722222222222, 19.215984274962047, 3.086448823870914, 6, 0.7875388202501892, 239257.78965452596, 11.749979166678711, 0.9118055555555555, 33.45309379392443, 0.2632045637348068, 416523.7212786857, 0, 33.17607118665748, 0.2676184698341995, 413074.51900256885, 0, 11.278679254529106, 0.72498497224827, 32.89551442315731, 0, 0.2722028243051376, 5.869761577773269, 409581.31302637846, 10.840851955893855, 0.4152477222743176, 0.0, 595.0, 6.0, 844.95826605384, 0.74, 925.1863431512992, 3200.0, 12.599999999999998, 8.399999999999999, 53.0, 0.0, 0.0, 0.0
1, 0.049500395601159625, 1.6431676725154984, 9.000000000000002, 0.19284068532759582, 0.3, 0.07544513811334269, 17.313034321001737, 2.4, aeronaut14x8, ag45c, ht14, 0.0, 0.0, 0.0, 0.0, 0.11830807242111588, 0.7394254526319742, 0.04, 0.5700000000000001, 0.27432644314973836, 5.193910296300521, 1.623910296300521, 3.57, 0.21344, 0.07287777261140738, 0.164595865889843, 0.5091358847794532, 0.027630760095909115, 0.01120901292390764, 0.170021, 0.455, 0.047483129710296626, -2.052895765645535, 5.424217602088233, 0.1081588778123434, 0.1204638750006412, 0.37846854905953703, 0.22672611312850016, 0.2070489781450613, 0.9662249087264385, 68.67142406828009, 8.000000000000004, 8.600000000000001, 1.5556651740396892, 2.2, 13.671625222876333, 15.871625222876332, 11.872174999082855, 0.9527777777777777, 19.288682573722472, 3.10874979425896, 6, 0.7875388202501892, 226427.80499668824, 11.749072916751105, 0.9114583333333334, 33.39626305459626, 0.26612779806097164, 392035.20041570603, 0, 34.39854689302727, 0.2508451989181907, 403800.9044057112, 0, 11.273841366574132, 0.7224054569482152, 33.00540452251124, 0, 0.2724682279348447, 5.840379603497412, 387446.9534399999, 10.83546592805666, 0.41008869167420814, 0.0, 595.0, 6.0, 834.7212032837901, 0.74, 928.2770021956287, 3200.0, 12.599999999999998, 8.399999999999999, 53.0, 0.0, 0.0, 0.0
1, 0.05922062424800816, 1.7320508075688772, 10.0, 0.18294473735490485, 0.29999999999999993, 0.06790062430200838, 17.477373902644, 2.4, aeronaut14x8, ag45c, ht14, 0.0, 0.0, 0.0, 0.0, 0.12470765814495917, 0.7794228634059948, 0.04, 0.5700000000000001, 0.27432644314973836, 5.243212170793199, 1.673212170793199, 3.57, 0.21344, 0.07681991741729485, 0.164595865889843, 0.5579681251215414, 0.0241582494406115, 0.01120901292390764, 0.170021, 0.455, 0.046673352462484066, -2.05287982765013, 5.501235689847092, 0.09633459484610182, 0.1149371779293923, 0.37316703798727635, 0.2150912767569194, 0.2023253281688364, 0.9825833950742442, 70.60970988817064, 8.200000000000003, 8.8, 1.5538901596073562, 2.2, 13.708578448370496, 15.908578448370495, 11.869743749277333, 0.9520833333333333, 18.977860765628837, 3.115060314866354, 6, 0.8208721652646109, 211346.81195105283, 11.7481666668235, 0.9111111111111111, 33.648215209047976, 0.26464574056986784, 374723.11026514054, 0, 9.466707427621285, 3.3434209850732057, 105425.9201924762, -4, 11.282072347010839, 0.7274065167109248, 33.072456398821956, 0, 0.2739403898041756, 5.82181216612754, 368311.176354529, 10.845908140560246, 0.42009081119962743, 0.0, 595.0, 6.0, 828.6426295962822, 0.74, 930.1628362168676, 3200.0, 12.599999999999998, 8.399999999999999, 53.0, 0.0, 0.0, 0.0
1, 0.08646909902234383, 1.816590212458495, 11.000000000000002, 0.17443096296726243, 0.29999999999999993, 0.06172784027455309, 17.79957560027174, 2.4, aeronaut14x8, ag45c, ht14, 0.0, 0.0, 0.0, 0.0, 0.13079449529701165, 0.8174655956063227, 0.04, 0.5700000000000001, 0.27432644314973836, 5.339872680081521, 1.7698726800815208, 3.57, 0.21344, 0.08056940910295918, 0.164595865889843, 0.6536302085283345, 0.02140718363647598, 0.01120901292390764, 0.170021, 0.455, 0.0456829200635392, -2.056237759235823, 5.566803965564127, 0.08677719355604838, 0.1101100669759902, 0.36937491816769025, 0.20508148566079265, 0.1982614335025798, 0.9966570808366273, 77.26022577054829, 8.8, 9.399999999999999, 1.552760348034388, 2.2, 13.93658871126091, 16.13658871126091, 11.862249999861449, 0.95, 19.157476796128446, 3.076222121767291, 6, 0.8208721652646109, 203418.48276193393, 11.74568229199709, 0.9100694444444445, 33.576777286379894, 0.2706726809251988, 356525.92271499307, 0, 33.22037511898834, 0.2765116159892131, 352741.562753847, 0, 11.277147042069801, 0.724179840072187, 33.08764068154063, 0, 0.27873457484475783, 5.812760256439801, 351332.1580517972, 10.839170839944316, 0.4136374579221519, 0.0, 595.0, 6.0, 847.3361753906362, 0.74, 930.5898941683303, 3200.0, 12.599999999999998, 8.399999999999999, 53.0, 0.0, 0.0, 0.0
1, 0.1865051078472159, 1.8973665961010278, 12.000000000000005, 0.16700493237689895, 0.29999999999999993, 0.05658385358500697, 18.660823783067663, 2.4, aeronaut14x8, ag45c, ht14, 0.0, 0.0, 0.0, 0.0, 0.136610394919274, 0.8538149682454624, 0.04, 0.5700000000000001, 0.27432644314973836, 5.598247134920298, 2.028247134920298, 3.57, 0.21344, 0.08415200327027278, 0.164595865889843, 0.9106496409463963, 0.019179611889877612, 0.01120901292390764, 0.170021, 0.455, 0.04360551701176438, -2.092075820006738, 5.622946442433455, 0.07905517977653978, 0.1057440902884227, 0.3720604208887584, 0.2, 0.19471675346602166, 1.0052832465339783, 92.11310195518466, 9.999999999999996, 10.799999999999994, 1.5518814375623635, 2.2, 14.245542191643933, 16.445542191643934, 11.846685417659048, 0.9451388888888889, 19.273103229547267, 2.9119391387028615, 6, 0.8515444137365366, 195933.84882322533, 11.74096354234142, 0.9079861111111112, 33.4088009120202, 0.2866301242502387, 339639.90486106905, 0, 33.324786346704755, 0.28807718292192075, 338785.7976141246, 0, 11.275462042783372, 0.7232753852030809, 33.047820618103415, 0, 0.2929260259128068, 5.827351989998448, 335970.113987536, 10.837282338215953, 0.41182854818393955, 0.0, 595.0, 6.0, 837.9005480798979, 0.74, 929.4699548841585, 3200.0, 12.599999999999998, 8.399999999999999, 53.0, 0.0, 0.0, 0.0
2, 0.02984073456622087, 2.0493901531919194, 14.0, 0.15461652315568883, 0.29999999999999993, 0.048500445930006, 17.971671460241694, 2.4, aeronaut14x8, ag45c, ht14, 0.0, 0.0, 0.0, 0.0, 0.14755609102981818, 0.9222255689363636, 0.04, 0.5700000000000001, 0.27432644314973836, 5.391501438072507, 1.8215014380725072, 3.57, 0.21344, 0.090894552074368, 0.164595865889843, 0.70053570964703, 0.01580529753735819, 0.01120901292390764, 0.170021, 0.455, 0.045295815941342056, -1.974131284703418, 5.713222061081987, 0.06616810634915683, 0.09872697622767268, 0.3455372928966026, 0.2, 0.18880337264745606, 1.011196627352544, 79.12249892252159, 9.0, 9.599999999999998, 1.548530932334487, 2.2, 13.94512383505642, 16.14512383505642, 11.859718750064268, 0.9493055555555555, 18.863715316386855, 3.1124894195936887, 6, 0.8542055107734461, 177546.31416943844, 11.744854167063288, 0.9097222222222222, 33.71502632372736, 0.2710530269673789, 317327.6608295388, 0, 11.984906625879933, 2.1450230242915405, 112802.59277669353, -4, 11.28058073120202, 0.7260039272711494, 33.149622650934674, 0, 0.280378100769665, 5.798595684019743, 312006.05072047404, 10.842979533938445, 0.41728563232007676, 0.0, 595.0, 6.0, 837.8661531206119, 0.74, 932.3331370575377, 3200.0, 12.599999999999998, 8.399999999999999, 53.0, 0.0, 0.0, 0.0
1, 0.19030351699537612, 1.9748417658131496, 13.0, 0.16045314898713758, 0.29999999999999993, 0.05223124946308337, 18.873556764696254, 2.4, aeronaut14x8, ag45c, ht14, 0.0, 0.0, 0.0, 0.0, 0.14218860713854678, 0.8886787946159174, 0.04, 0.5700000000000001, 0.27432644314973836, 5.662067029408875, 2.092067029408875, 3.57, 0.21344, 0.08758818199734482, 0.164595865889843, 0.9728700141367759, 0.017342954461003306, 0.01120901292390764, 0.170021, 0.455, 0.04312905158735269, -2.079107301063849, 5.671163868670475, 0.07230537829073513, 0.1019526286844892, 0.366610337703267, 0.2, 0.19158937935909595, 1.008410620640904, 96.50845328250416, 10.399999999999995, 11.199999999999992, 1.550617251688421, 2.2, 14.328745895739905, 16.528745895739906, 11.842647917388089, 0.94375, 19.309370897839624, 2.893977619068354, 6, 0.8581742153987286, 188601.39190497395, 11.73938229247068, 0.9072916666666667, 33.16977569302671, 0.29409082757495497, 323980.82247104845, 0, 15.598633124286518, 1.3298218405678366, 152357.3157624011, 10, 11.279702607414006, 0.7255138368306204, 33.0629414037265, 0, 0.29599445407356123, 5.826888288525467, 322937.33453082497, 10.841956225119391, 0.41630545143901854, 0.0, 595.0, 6.0, 820.7722157164861, 0.74, 929.8952269798078, 3200.0, 12.599999999999998, 8.399999999999999, 53.0, 0.0, 0.0, 0.0
2, 0.038435012554713245, 2.1213203435596424, 14.999999999999995, 0.1493737525490007, 0.30000000000000004, 0.04526708286800561, 18.706221533821967, 2.4, aeronaut14x8, ag45c, ht14, 0.0, 0.0, 0.0, 0.0, 0.15273506473629425, 0.954594154601839, 0.04, 0.5700000000000001, 0.27432644314973836, 5.611866460146591, 2.0418664601465912, 3.57, 0.21344, 0.09408479987755726, 0.164595865889843, 0.9190147378323259, 0.014501043622956834, 0.01120901292390764, 0.170021, 0.455, 0.04477326511171479, -1.95169328433487, 5.749671977409414, 0.06122003014827397, 0.09547279261608407, 0.33944428343097055, 0.2, 0.18630083187824656, 1.0136991681217533, 94.67598846115315, 10.199999999999996, 10.999999999999993, 1.5481675345853638, 2.2, 14.330131941196695, 16.530131941196696, 11.8446666678204, 0.9444444444444444, 19.24178573256775, 2.971349127939146, 6, 0.8559595632786767, 174963.79489377365, 11.740185417403447, 0.9076388888888889, 33.61292586415439, 0.283848259244297, 305639.25554588967, 0, 13.98790290445706, 1.6390554732052514, 127190.71965483592, -4, 11.279070992535958, 0.7251874208468343, 33.09978192655365, 0, 0.29271744480159323, 5.816965894455358, 300973.28473126836, 10.841274668559079, 0.41565261947144627, 0.0, 595.0, 6.0, 837.3026584803981, 0.74, 930.9313666843216, 3200.0, 12.599999999999998, 8.399999999999999, 53.0, 0.0, 0.0, 0.0
2, 0.11046995343318618, 2.1908902300206643, 16.0, 0.14463051399569682, 0.29999999999999993, 0.04243789018875525, 20.653935190277778, 2.4, aeronaut14x8, ag45c, ht14, 0.0, 0.0, 0.0, 0.0, 0.15774409656148783, 0.9859006035092989, 0.04, 0.5700000000000001, 0.27432644314973836, 6.196180557083332, 2.6261805570833325, 3.57, 0.21344, 0.0971703634818765, 0.164595865889843, 1.501362111366801, 0.01338220342090362, 0.01120901292390764, 0.170021, 0.455, 0.043342140342771146, -1.957720912503373, 5.782132172539109, 0.05709383333938953, 0.09230899052569136, 0.3385811417112035, 0.2, 0.18403673360879594, 1.015963266391204, 147.96482914860908, 14.79999999999998, 15.599999999999977, 1.548541045815827, 2.2, 15.065084818944081, 17.265084818944082, 11.7989354156853, 0.9284722222222223, 19.869041232826678, 2.6048661030888485, 6, 0.8892929098023555, 174930.43044318462, 11.719055208271326, 0.8996527777777779, 33.57283881649998, 0.3141517448663721, 295581.0034591431, 0, 8.48459145820794, 4.918738521077395, 74699.79142560418, -4, 11.280582241405225, 0.726005386404797, 32.95853896325711, 0, 0.32597155505172143, 5.870993338510788, 290172.60269688483, 10.84298258060944, 0.4172885505873717, 0.0, 595.0, 6.0, 828.9336826593791, 0.74, 926.9589083416062, 3200.0, 12.599999999999998, 8.399999999999999, 53.0, 0.0, 0.0, 0.0
